TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
17,1,0.0500,0.1000,5.3800e+27,5.2000e+26,3.0600e+27,3.0000e+26,2.2587e+31,1.2949e+31,138
17,2,0.1000,0.2000,1.4560e+28,5.7700e+27,8.3500e+27,3.0100e+27,3.4791e+31,1.8304e+31,138
17,3,0.2000,0.3500,1.8270e+28,2.1750e+28,1.3610e+28,1.8350e+28,2.2380e+31,1.6718e+31,138
17,4,0.3500,0.5500,1.6540e+28,6.6720e+28,1.4940e+28,6.3000e+28,1.2718e+31,1.0543e+31,138
17,5,0.5500,1.0100,1.5690e+28,3.1052e+29,1.4260e+28,3.0076e+29,7.4928e+30,6.9271e+30,138
18,0,0.0000,0.0500,7.9300e+27,0.0000e+00,2.5600e+27,7.0000e+25,1.0894e+32,3.0068e+31,139
18,1,0.0500,0.1000,5.3800e+27,5.2000e+26,2.8600e+27,3.5000e+26,2.2588e+31,1.3059e+31,139
18,2,0.1000,0.2000,1.5100e+28,4.6900e+27,7.6100e+27,2.6800e+27,3.4704e+31,1.8335e+31,139
18,3,0.2000,0.3500,1.7810e+28,2.1740e+28,1.3690e+28,1.8340e+28,2.2374e+31,1.6754e+31,139
18,4,0.3500,0.5500,1.7200e+28,6.7230e+28,1.4800e+28,6.3480e+28,1.2746e+31,1.0632e+31,139
18,5,0.5500,1.0100,1.5810e+28,3.2293e+29,1.5080e+28,3.0149e+29,7.5805e+30,6.9527e+30,139
19,0,0.0000,0.0500,7.6500e+27,0.0000e+00,2.6400e+27,3.0000e+25,1.0873e+32,2.9011e+31,139
19,1,0.0500,0.1000,5.5900e+27,5.1000e+26,3.1000e+27,3.0000e+26,2.2338e+31,1.4108e+31,139
19,2,0.1000,0.2000,1.5040e+28,4.7100e+27,8.0200e+27,2.8500e+27,3.4401e+31,1.8217e+31,139
19,3,0.2000,0.3500,1.7610e+28,2.1470e+28,1.3440e+28,1.9590e+28,2.2238e+31,1.6820e+31,139
19,4,0.3500,0.5500,1.6710e+28,7.1070e+28,1.4510e+28,6.2520e+28,1.2749e+31,1.0592e+31,139
19,5,0.5500,1.0100,1.6550e+28,3.2302e+29,1.5330e+28,2.9475e+29,7.6969e+30,6.8915e+30,139
20,0,0.0000,0.0500,7.3500e+27,5.0000e+25,2.4300e+27,3.0000e+25,1.0853e+32,2.8848e+31,139
20,1,0.0500,0.1000,5.0700e+27,4.1000e+26,2.8600e+27,3.9000e+26,2.2119e+31,1.4290e+31,139
20,2,0.1000,0.2000,1.4930e+28,4.2200e+27,8.1000e+27,2.9800e+27,3.4117e+31,1.8222e+31,139
20,3,0.2000,0.3500,1.7800e+28,2.1530e+28,1.3890e+28,1.9310e+28,2.2150e+31,1.6891e+31,139
20,4,0.3500,0.5500,1.8700e+28,7.2100e+28,1.4780e+28,6.3720e+28,1.2795e+31,1.0554e+31,139
20,5,0.5500,1.0100,1.6670e+28,3.1822e+29,1.5530e+28,3.1418e+29,7.7293e+30,7.0390e+30,139
21,0,0.0000,0.0500,7.6900e+27,2.0000e+25,2.6200e+27,2.0000e+25,1.0831e+32,2.8804e+31,139
21,1,0.0500,0.1000,5.2500e+27,3.8000e+26,2.9500e+27,2.0000e+26,2.1905e+31,1.4291e+31,139
21,2,0.1000,0.2000,1.4210e+28,4.9800e+27,8.1300e+27,3.1500e+27,3.3885e+31,1.8122e+31,139
21,3,0.2000,0.3500,1.7160e+28,2.0930e+28,1.3700e+28,1.8570e+28,2.1990e+31,1.6873e+31,139
21,4,0.3500,0.5500,1.6970e+28,7.0280e+28,1.3850e+28,5.8880e+28,1.2890e+31,1.0597e+31,139
21,5,0.5500,1.0100,1.5740e+28,3.1583e+29,1.5170e+28,3.0975e+29,7.7566e+30,7.1615e+30,139
22,0,0.0000,0.0500,7.8200e+27,0.0000e+00,2.4700e+27,3.0000e+25,1.0889e+32,2.8988e+31,140
22,1,0.0500,0.1000,5.2100e+27,4.1000e+26,3.0500e+27,1.8000e+26,2.1900e+31,1.4411e+31,140
22,2,0.1000,0.2000,1.4810e+28,4.5700e+27,8.0900e+27,3.1600e+27,3.3841e+31,1.8266e+31,140
22,3,0.2000,0.3500,1.6550e+28,2.0530e+28,1.3940e+28,1.7090e+28,2.1917e+31,1.6866e+31,140
22,4,0.3500,0.5500,1.6720e+28,6.4610e+28,1.3800e+28,6.0330e+28,1.2922e+31,1.0674e+31,140
22,5,0.5500,1.0100,1.6960e+28,3.1668e+29,1.5020e+28,3.1554e+29,7.7773e+30,7.1168e+30,140
23,0,0.0000,0.0500,7.3400e+27,5.0000e+25,2.8300e+27,0.0000e+00,1.0868e+32,2.8934e+31,140
23,1,0.0500,0.1000,5.0000e+27,4.2000e+26,2.9100e+27,2.7000e+26,2.1754e+31,1.4375e+31,140
23,2,0.1000,0.2000,1.3740e+28,4.8900e+27,8.2600e+27,3.2800e+27,3.3547e+31,1.8289e+31,140
23,3,0.2000,0.3500,1.7700e+28,2.0330e+28,1.2970e+28,1.7500e+28,2.1716e+31,1.6731e+31,140
23,4,0.3500,0.5500,1.6760e+28,6.5420e+28,1.4220e+28,5.9980e+28,1.2797e+31,1.0675e+31,140
23,5,0.5500,1.0100,1.7060e+28,3.1908e+29,1.5040e+28,2.9997e+29,7.8435e+30,7.1138e+30,140
24,0,0.0000,0.0500,7.2400e+27,5.0000e+25,2.4000e+27,4.0000e+25,1.0844e+32,2.8882e+31,140
24,1,0.0500,0.1000,4.9400e+27,3.8000e+26,2.7300e+27,2.4000e+26,2.1530e+31,1.4372e+31,140
24,2,0.1000,0.2000,1.4470e+28,5.0300e+27,7.6400e+27,2.8500e+27,3.3835e+31,1.8214e+31,140
24,3,0.2000,0.3500,1.7230e+28,2.0660e+28,1.2640e+28,1.7150e+28,2.1033e+31,1.6681e+31,140
24,4,0.3500,0.5500,1.6110e+28,6.5560e+28,1.4510e+28,6.0140e+28,1.2760e+31,1.0618e+31,140
24,5,0.5500,1.0100,1.6000e+28,3.0817e+29,1.5370e+28,2.9830e+29,7.7753e+30,7.0713e+30,140
25,0,0.0000,0.0500,7.5300e+27,1.0000e+25,2.5200e+27,1.0000e+25,1.0903e+32,2.9061e+31,141
25,1,0.0500,0.1000,5.2300e+27,4.7000e+26,2.7800e+27,2.1000e+26,2.1516e+31,1.4451e+31,141
25,2,0.1000,0.2000,1.4590e+28,4.8400e+27,7.6900e+27,2.4200e+27,3.3848e+31,1.8223e+31,141
25,3,0.2000,0.3500,1.7160e+28,2.0410e+28,1.3760e+28,1.7400e+28,2.1074e+31,1.6731e+31,141
25,4,0.3500,0.5500,1.6620e+28,6.4110e+28,1.4080e+28,5.9890e+28,1.2836e+31,1.0682e+31,141
25,5,0.5500,1.0100,1.6150e+28,3.0905e+29,1.5570e+28,3.0227e+29,7.8125e+30,7.2134e+30,141
26,0,0.0000,0.0500,7.5400e+27,1.0000e+25,2.6700e+27,3.0000e+25,1.0880e+32,2.9045e+31,141
26,1,0.0500,0.1000,4.9900e+27,3.6000e+26,3.2300e+27,1.6000e+26,2.1358e+31,1.4433e+31,141
26,2,0.1000,0.2000,1.4640e+28,4.7300e+27,8.0500e+27,2.7700e+27,3.3408e+31,1.8119e+31,141
26,3,0.2000,0.3500,1.6090e+28,1.9970e+28,1.2990e+28,1.8330e+28,2.1037e+31,1.6757e+31,141
26,4,0.3500,0.5500,1.7210e+28,6.2490e+28,1.4400e+28,6.0690e+28,1.2839e+31,1.0782e+31,141
26,5,0.5500,1.0100,1.6550e+28,2.9603e+29,1.6070e+28,3.1233e+29,7.8237e+30,7.2873e+30,141
27,0,0.0000,0.0500,7.2700e+27,2.0000e+25,2.4700e+27,4.0000e+25,1.0935e+32,2.9208e+31,142
27,1,0.0500,0.1000,5.0100e+27,4.4000e+26,2.7600e+27,2.0000e+26,2.1297e+31,1.4535e+31,142
27,2,0.1000,0.2000,1.2750e+28,4.0900e+27,8.1500e+27,2.8600e+27,3.2866e+31,1.8188e+31,142
27,3,0.2000,0.3500,1.6940e+28,2.0760e+28,1.3370e+28,1.6530e+28,2.1475e+31,1.6989e+31,142
27,4,0.3500,0.5500,1.5820e+28,6.3950e+28,1.4820e+28,5.9780e+28,1.2880e+31,1.0846e+31,142
27,5,0.5500,1.0100,1.6770e+28,2.9906e+29,1.6280e+28,3.0659e+29,7.8518e+30,7.3548e+30,142
28,0,0.0000,0.0500,7.5700e+27,4.0000e+25,2.4200e+27,4.0000e+25,1.0908e+32,2.9191e+31,142
28,1,0.0500,0.1000,5.4100e+27,3.7000e+26,2.8700e+27,2.5000e+26,2.1124e+31,1.4496e+31,142
28,2,0.1000,0.2000,1.3580e+28,4.7700e+27,8.0100e+27,2.5700e+27,3.2609e+31,1.8159e+31,142
28,3,0.2000,0.3500,1.6980e+28,1.9100e+28,1.3470e+28,1.7110e+28,2.1353e+31,1.6898e+31,142
28,4,0.3500,0.5500,1.6430e+28,6.2180e+28,1.3580e+28,5.7940e+28,1.2783e+31,1.0761e+31,142
