Wavelength(nm) Intensity
5.89865126e+02 4.50088823e+03
5.89868421e+02 4.60262186e+03
5.89871717e+02 5.24282956e+03
5.89875012e+02 5.53861500e+03
5.89878307e+02 4.77466592e+03
5.89881602e+02 5.06965812e+03
5.89884897e+02 4.84341654e+03
5.89888192e+02 4.73483553e+03
5.89891487e+02 5.17466036e+03
5.89894782e+02 5.34067298e+03
5.89898078e+02 5.27527283e+03
5.89901373e+02 5.14599223e+03
5.89904668e+02 4.95003575e+03
5.89907963e+02 4.73861930e+03
5.89911258e+02 4.92457218e+03
5.89914553e+02 4.77415329e+03
5.89917848e+02 4.72985039e+03
5.89921143e+02 5.26038271e+03
5.89924438e+02 5.25497835e+03
5.89927734e+02 5.29195229e+03
5.89931029e+02 5.18034398e+03
5.89934324e+02 4.75488288e+03
5.89937619e+02 5.13719240e+03
5.89940914e+02 4.94027038e+03
5.89944209e+02 5.54525361e+03
5.89947504e+02 4.94157323e+03
5.89950799e+02 4.86463602e+03
5.89954095e+02 4.96687995e+03
5.89957390e+02 4.97227981e+03
5.89960685e+02 5.01996090e+03
5.89963980e+02 5.43006657e+03
5.89967275e+02 4.81464289e+03
5.89970570e+02 4.56243336e+03
5.89973865e+02 3.91687874e+03
5.89977160e+02 3.30009794e+03
5.89980455e+02 3.34829114e+03
5.89983751e+02 4.25882642e+03
5.89987046e+02 4.69750760e+03
5.89990341e+02 5.11560271e+03
5.89993636e+02 5.46384933e+03
5.89996931e+02 5.57751297e+03
5.90000226e+02 5.54821326e+03
5.90003521e+02 5.71407270e+03
5.90006816e+02 5.19194912e+03
5.90010112e+02 5.17247528e+03
5.90013407e+02 5.21068626e+03
5.90016702e+02 5.13017174e+03
5.90019997e+02 5.53874949e+03
5.90023292e+02 5.64915063e+03
5.90026587e+02 5.56344967e+03
5.90029882e+02 5.29624670e+03
5.90033177e+02 4.79403906e+03
5.90036472e+02 5.52017083e+03
5.90039768e+02 5.25134413e+03
5.90043063e+02 4.96951729e+03
5.90046358e+02 5.45823849e+03
5.90049653e+02 5.31020687e+03
5.90052948e+02 4.91712748e+03
5.90056243e+02 4.79766429e+03
5.90059538e+02 4.44041532e+03
5.90062833e+02 4.35907966e+03
5.90066129e+02 4.71075533e+03
5.90069424e+02 4.92769846e+03
5.90072719e+02 5.18379401e+03
5.90076014e+02 5.34071184e+03
5.90079309e+02 5.37580960e+03
5.90082604e+02 5.94848026e+03
5.90085899e+02 5.53388677e+03
5.90089194e+02 5.52776802e+03
5.90092489e+02 5.73074701e+03
5.90095785e+02 5.27902399e+03
5.90099080e+02 5.65154292e+03
5.90102375e+02 5.75318057e+03
5.90105670e+02 5.90180165e+03
5.90108965e+02 6.03134549e+03
5.90112260e+02 5.46317202e+03
5.90115555e+02 5.46115710e+03
5.90118850e+02 5.62029417e+03
5.90122146e+02 5.93815864e+03
5.90125441e+02 5.70523942e+03
5.90128736e+02 5.57412371e+03
5.90132031e+02 5.27665909e+03
5.90135326e+02 5.19784562e+03
5.90138621e+02 4.97916762e+03
5.90141916e+02 4.41402522e+03
5.90145211e+02 4.29600324e+03
5.90148506e+02 4.42391847e+03
5.90151802e+02 3.61873840e+03
5.90155097e+02 3.54585177e+03
5.90158392e+02 3.53355154e+03
5.90161687e+02 3.03737372e+03
5.90164982e+02 2.81593941e+03
5.90168277e+02 2.80981873e+03
5.90171572e+02 3.52755124e+03
5.90174867e+02 3.85137652e+03
5.90178163e+02 4.60740816e+03
5.90181458e+02 5.32613901e+03
5.90184753e+02 5.44675939e+03
5.90188048e+02 5.41928278e+03
5.90191343e+02 5.73890356e+03
5.90194638e+02 5.57310653e+03
5.90197933e+02 6.24803943e+03
5.90201228e+02 5.68828059e+03
5.90204523e+02 5.44460229e+03
5.90207819e+02 5.46305774e+03
5.90211114e+02 5.66009519e+03
5.90214409e+02 5.58296731e+03
5.90217704e+02 5.65688394e+03
5.90220999e+02 5.46008599e+03
5.90224294e+02 5.75752379e+03
5.90227589e+02 5.90298177e+03
5.90230884e+02 5.82216079e+03
5.90234180e+02 5.40107098e+03
5.90237475e+02 5.09124091e+03
5.90240770e+02 5.61289971e+03
5.90244065e+02 5.65135979e+03
5.90247360e+02 5.72829499e+03
5.90250655e+02 5.65636914e+03
5.90253950e+02 5.36375941e+03
5.90257245e+02 5.15109390e+03
5.90260540e+02 5.44353343e+03
5.90263836e+02 5.32153156e+03
5.90267131e+02 5.65409430e+03
5.90270426e+02 6.00694270e+03
5.90273721e+02 5.78698548e+03
5.90277016e+02 5.90946317e+03
5.90280311e+02 5.69183839e+03
5.90283606e+02 5.42657878e+03
5.90286901e+02 5.63961209e+03
5.90290197e+02 5.58510141e+03
5.90293492e+02 5.02679766e+03
5.90296787e+02 5.13775381e+03
5.90300082e+02 4.73261410e+03
5.90303377e+02 4.25614714e+03
5.90306672e+02 3.11263522e+03
5.90309967e+02 2.96951555e+03
5.90313262e+02 3.27488315e+03
5.90316557e+02 3.77130653e+03
5.90319853e+02 4.41909463e+03
5.90323148e+02 5.06397186e+03
5.90326443e+02 5.21634384e+03
5.90329738e+02 5.31726849e+03
5.90333033e+02 5.41873072e+03
5.90336328e+02 5.51597616e+03
5.90339623e+02 5.79649905e+03
5.90342918e+02 5.66253770e+03
