Wavelength(nm) Intensity
5.90211114e+02 3.94918612e+03
5.90214409e+02 3.70356730e+03
5.90217704e+02 4.34076267e+03
5.90220999e+02 4.28732652e+03
5.90224294e+02 3.90107926e+03
5.90227589e+02 4.12692712e+03
5.90230884e+02 3.93472423e+03
5.90234180e+02 4.20901304e+03
5.90237475e+02 4.25647749e+03
5.90240770e+02 4.27851545e+03
5.90244065e+02 4.21932043e+03
5.90247360e+02 3.78811366e+03
5.90250655e+02 3.86111566e+03
5.90253950e+02 3.96339834e+03
5.90257245e+02 3.85220880e+03
5.90260540e+02 3.69357266e+03
5.90263836e+02 4.23078306e+03
5.90267131e+02 4.11752547e+03
5.90270426e+02 4.32562686e+03
5.90273721e+02 4.24177994e+03
5.90277016e+02 4.28497452e+03
5.90280311e+02 3.79583363e+03
5.90283606e+02 3.99016809e+03
5.90286901e+02 3.99369554e+03
5.90290197e+02 3.73824076e+03
5.90293492e+02 3.78760927e+03
5.90296787e+02 3.84590714e+03
5.90300082e+02 3.64290460e+03
5.90303377e+02 3.32475038e+03
5.90306672e+02 2.54419030e+03
5.90309967e+02 2.55277183e+03
5.90313262e+02 2.20775124e+03
5.90316557e+02 2.52898570e+03
5.90319853e+02 3.50120640e+03
5.90323148e+02 3.76657609e+03
5.90326443e+02 3.80398641e+03
5.90329738e+02 4.02378156e+03
5.90333033e+02 4.43100943e+03
5.90336328e+02 4.65665078e+03
5.90339623e+02 4.56674069e+03
5.90342918e+02 4.28714515e+03
5.90346214e+02 4.80734337e+03
5.90349509e+02 4.05839872e+03
5.90352804e+02 3.95491101e+03
5.90356099e+02 4.07635302e+03
5.90359394e+02 3.86522724e+03
5.90362689e+02 4.04949057e+03
5.90365984e+02 3.69749101e+03
5.90369279e+02 3.54249142e+03
5.90372574e+02 3.73624452e+03
5.90375870e+02 3.77075386e+03
5.90379165e+02 3.27498497e+03
5.90382460e+02 3.25754471e+03
5.90385755e+02 3.78589057e+03
5.90389050e+02 3.99360315e+03
5.90392345e+02 4.04727704e+03
5.90395640e+02 4.15550505e+03
5.90398935e+02 4.15992946e+03
5.90402231e+02 4.12717162e+03
5.90405526e+02 4.06290931e+03
5.90408821e+02 3.83847106e+03
5.90412116e+02 4.45495337e+03
5.90415411e+02 3.93100321e+03
