TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
89,6.8559e+29,2.7218e+29,4.0497e+29,1.4600e+27,6.9800e+27,2.4011e+29,3.2070e+28,2.1577e+29,1.8920e+29,8.2000e+26,6.4000e+26,3.4900e+27,3.4900e+27,5.2119e+08,5.9537e+03,1.0814e+09,1.4580e-17,1.8174e+07,3.8052e+02,4.7019e+05,4.6702e+05,39.7,59.1,0.2,1.0,6.8538e+29,6.6824e+29,8.7500e+27,8.3900e+27,2.4372e+28,0.0000e+00,97.5,1.3,1.2
90,7.0966e+29,2.7784e+29,4.2339e+29,1.5800e+27,6.8500e+27,2.4632e+29,3.1520e+28,2.2778e+29,1.9561e+29,9.6000e+26,6.2000e+26,3.6000e+27,3.2500e+27,5.2960e+08,6.1356e+03,1.0500e+09,3.3844e-17,1.7785e+07,3.9281e+02,4.6700e+05,4.6385e+05,39.2,59.7,0.2,1.0,7.0917e+29,6.9174e+29,8.9600e+27,8.4700e+27,2.4146e+28,0.0000e+00,97.5,1.3,1.2
91,7.1818e+29,2.8492e+29,4.2480e+29,1.5800e+27,6.8800e+27,2.5385e+29,3.1070e+28,2.3509e+29,1.8971e+29,8.0000e+26,7.8000e+26,3.6200e+27,3.2600e+27,5.3897e+08,6.3282e+03,8.6544e+08,1.9711e-18,1.6838e+07,4.0467e+02,4.6383e+05,4.6068e+05,39.7,59.1,0.2,1.0,7.1835e+29,7.0063e+29,9.3300e+27,8.3900e+27,2.4040e+28,0.0000e+00,97.5,1.3,1.2
92,7.3866e+29,2.9634e+29,4.3365e+29,1.7100e+27,6.9600e+27,2.6504e+29,3.1300e+28,2.3907e+29,1.9458e+29,1.0000e+27,7.1000e+26,3.3500e+27,3.6100e+27,5.5472e+08,6.5065e+03,1.2400e+09,5.0270e-20,1.6793e+07,4.1669e+02,4.6067e+05,4.5752e+05,40.1,58.7,0.2,0.9,7.3858e+29,7.2076e+29,9.0800e+27,8.7400e+27,2.3929e+28,0.0000e+00,97.6,1.2,1.2
93,7.4346e+29,3.0276e+29,4.3224e+29,1.5200e+27,6.9400e+27,2.7139e+29,3.1370e+28,2.4231e+29,1.8993e+29,8.8000e+26,6.4000e+26,3.4100e+27,3.5300e+27,5.6865e+08,6.6985e+03,1.0463e+09,1.0166e-20,1.6563e+07,4.2955e+02,4.5750e+05,4.5437e+05,40.7,58.1,0.2,0.9,7.4308e+29,7.2467e+29,9.2200e+27,9.1900e+27,2.3699e+28,0.0000e+00,97.5,1.2,1.2
94,7.3990e+29,3.1019e+29,4.2114e+29,1.6400e+27,6.9300e+27,2.7874e+29,3.1450e+28,2.4111e+29,1.8003e+29,9.0000e+26,7.4000e+26,3.1900e+27,3.7400e+27,5.8284e+08,6.9019e+03,9.6428e+08,3.2838e-20,1.6533e+07,4.4344e+02,4.5436e+05,4.5125e+05,41.9,56.9,0.2,0.9,7.4033e+29,7.2282e+29,9.2300e+27,8.2800e+27,2.3469e+28,0.0000e+00,97.6,1.2,1.1
95,7.7113e+29,3.1777e+29,4.4471e+29,1.7500e+27,6.9000e+27,2.8637e+29,3.1400e+28,2.6021e+29,1.8450e+29,9.9000e+26,7.6000e+26,3.6600e+27,3.2400e+27,5.9511e+08,7.1039e+03,9.4337e+08,1.0039e-20,1.6136e+07,4.5533e+02,4.5124e+05,4.4814e+05,41.2,57.7,0.2,0.9,7.7001e+29,7.5142e+29,9.7800e+27,8.8100e+27,2.3354e+28,0.0000e+00,97.6,1.3,1.1
96,7.9293e+29,3.2764e+29,4.5649e+29,1.8500e+27,6.9500e+27,2.9604e+29,3.1600e+28,2.4783e+29,2.0866e+29,1.1100e+27,7.4000e+26,3.7300e+27,3.2200e+27,6.0843e+08,1.1916e+03,1.0358e+09,1.0006e-20,1.9647e+07,4.7086e+02,4.4812e+05,4.4503e+05,41.3,57.6,0.2,0.9,7.9300e+29,7.7358e+29,1.0150e+28,9.2700e+27,2.3235e+28,0.0000e+00,97.6,1.3,1.2
97,7.6724e+29,3.3879e+29,4.1982e+29,1.6600e+27,6.9700e+27,3.0810e+29,3.0690e+28,2.3219e+29,1.8763e+29,1.0500e+27,6.1000e+26,3.6200e+27,3.3500e+27,6.2212e+08,7.5562e+03,9.9557e+08,1.0030e-20,1.8991e+07,4.8427e+02,4.4502e+05,4.4195e+05,44.2,54.7,0.2,0.9,7.6763e+29,7.4896e+29,9.8900e+27,8.7800e+27,2.3003e+28,0.0000e+00,97.6,1.3,1.1
98,7.9340e+29,3.4648e+29,4.3837e+29,1.6600e+27,6.8900e+27,3.1577e+29,3.0710e+28,2.4938e+29,1.8899e+29,1.1000e+27,5.6000e+26,3.3200e+27,3.5700e+27,6.3474e+08,7.7894e+03,1.0190e+09,1.0093e-20,1.8222e+07,5.0297e+02,4.4193e+05,4.3889e+05,43.7,55.3,0.2,0.9,7.9325e+29,7.7481e+29,1.0070e+28,8.3700e+27,2.2773e+28,0.0000e+00,97.7,1.3,1.1
