TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
35,6.3145e+29,1.6204e+29,4.6003e+29,2.5865e+27,6.8000e+27,9.5863e+28,6.6172e+28,2.3486e+29,2.2517e+29,1.3590e+27,1.2275e+27,3.4300e+27,3.3700e+27,25.7,72.9,0.4,1.1,6.3216e+29,6.1348e+29,1.4441e+28,4.2440e+27,3.2655e+28,0.0000e+00,97.0,2.3,0.7
36,6.2312e+29,1.6143e+29,4.5225e+29,2.6140e+27,6.8240e+27,9.5456e+28,6.5972e+28,2.3082e+29,2.2143e+29,1.3380e+27,1.2760e+27,3.3845e+27,3.4395e+27,25.9,72.6,0.4,1.1,6.2378e+29,6.0517e+29,1.4175e+28,4.4315e+27,3.2654e+28,0.0000e+00,97.0,2.3,0.7
37,6.0951e+29,1.6003e+29,4.4014e+29,2.5380e+27,6.8010e+27,9.4787e+28,6.5241e+28,2.2404e+29,2.1609e+29,1.3065e+27,1.2315e+27,3.4325e+27,3.3685e+27,26.3,72.2,0.4,1.1,6.1023e+29,5.9194e+29,1.3700e+28,4.5960e+27,3.2423e+28,0.0000e+00,97.0,2.2,0.8
38,6.0065e+29,1.5895e+29,4.3238e+29,2.4945e+27,6.8215e+27,9.4224e+28,6.4731e+28,2.2161e+29,2.1077e+29,1.2915e+27,1.2030e+27,3.4385e+27,3.3830e+27,26.5,72.0,0.4,1.1,6.0124e+29,5.8332e+29,1.3225e+28,4.6895e+27,3.2408e+28,0.0000e+00,97.0,2.2,0.8
39,5.8814e+29,1.5751e+29,4.2134e+29,2.5055e+27,6.7970e+27,9.3296e+28,6.4210e+28,2.1592e+29,2.0542e+29,1.2930e+27,1.2125e+27,3.3895e+27,3.4075e+27,26.8,71.6,0.4,1.2,5.8861e+29,5.7110e+29,1.2807e+28,4.7060e+27,3.2168e+28,0.0000e+00,97.0,2.2,0.8
40,5.8320e+29,1.5710e+29,4.1679e+29,2.4910e+27,6.8170e+27,9.3406e+28,6.3693e+28,2.1479e+29,2.0200e+29,1.2935e+27,1.1975e+27,3.4145e+27,3.4025e+27,26.9,71.5,0.4,1.2,5.8392e+29,5.6664e+29,1.2424e+28,4.8550e+27,3.2141e+28,0.0000e+00,97.0,2.1,0.8
41,5.7553e+29,1.5681e+29,4.0934e+29,2.5515e+27,6.8340e+27,9.3450e+28,6.3357e+28,2.0999e+29,1.9935e+29,1.2990e+27,1.2525e+27,3.3950e+27,3.4390e+27,27.2,71.1,0.4,1.2,5.7600e+29,5.5890e+29,1.2180e+28,4.9260e+27,3.2106e+28,0.0000e+00,97.0,2.1,0.9
42,5.6396e+29,1.5534e+29,3.9941e+29,2.3955e+27,6.8110e+27,9.2582e+28,6.2759e+28,2.0482e+29,1.9459e+29,1.2320e+27,1.1635e+27,3.3830e+27,3.4280e+27,27.5,70.8,0.4,1.2,5.6438e+29,5.4765e+29,1.1818e+28,4.9170e+27,3.1851e+28,0.0000e+00,97.0,2.1,0.9
43,5.5849e+29,1.5510e+29,3.9425e+29,2.3180e+27,6.8230e+27,9.2569e+28,6.2535e+28,2.0228e+29,1.9197e+29,1.1900e+27,1.1280e+27,3.3870e+27,3.4360e+27,27.8,70.6,0.4,1.2,5.5890e+29,5.4218e+29,1.1670e+28,5.0525e+27,3.1804e+28,0.0000e+00,97.0,2.1,0.9
44,5.5031e+29,1.5369e+29,3.8746e+29,2.3640e+27,6.7990e+27,9.2107e+28,6.1578e+28,1.9798e+29,1.8949e+29,1.1960e+27,1.1680e+27,3.4265e+27,3.3725e+27,27.9,70.4,0.4,1.2,5.5077e+29,5.3454e+29,1.1178e+28,5.0520e+27,3.1540e+28,0.0000e+00,97.1,2.0,0.9
