Time_hours,TAA,Gen_Total,Trans_Inward
193.22222222222223,49.00553340273336,3.115000000000046e+27,0.0
197.5,50.00551748710575,3.1285000000000473e+27,0.0
201.77777777777777,51.000668326192056,3.0715000000000483e+27,0.0
206.11111111111111,52.003779823232264,3.004500000000044e+27,0.0
210.44444444444446,53.00186473963561,2.9530000000000417e+27,0.0
214.80555555555554,54.00124194427809,2.9230000000000355e+27,0.0
219.19444444444446,55.00178743851444,2.9105000000000367e+27,0.0
223.61111111111111,56.003379223687716,2.8355000000000297e+27,0.0
228.05555555555554,57.0058926188712,2.8200000000000323e+27,0.0
232.5,58.002992618321514,2.85350000000003e+27,0.0
236.97222222222223,59.00084881796266,2.774000000000024e+27,0.0
241.5,60.005483848198025,2.697500000000022e+27,0.0
246.02777777777777,61.0044664671226,2.7020000000000224e+27,0.0
250.58333333333334,62.00385579591614,2.66700000000002e+27,0.0
255.16666666666666,63.003546670024775,2.686500000000027e+27,0.0
259.77777777777777,64.0034329217994,2.628500000000019e+27,0.0
264.4166666666667,65.00340680801912,2.559000000000015e+27,0.0
269.0833333333333,66.00336531756523,2.5650000000000144e+27,0.0
273.77777777777777,67.00320595095559,2.552000000000013e+27,0.0
278.5,68.00283221501445,2.4730000000000088e+27,0.0
283.25,69.00214834763864,2.4910000000000085e+27,0.0
288.02777777777777,70.0010606427544,2.4490000000000063e+27,0.0
292.8611111111111,71.00522540275568,2.4985000000000113e+27,0.0
297.69444444444446,72.00302196045033,2.4415000000000035e+27,0.0
302.55555555555554,73.00014217380476,2.4335000000000034e+27,0.0
307.47222222222223,74.0021537720043,2.4165000000000005e+27,0.0
312.4166666666667,75.00325849069083,2.3825e+27,0.0
317.3888888888889,76.00337682977226,2.323999999999997e+27,0.0
322.3888888888889,77.00243447044579,2.323999999999996e+27,0.0
327.4166666666667,78.00035738325738,2.291499999999994e+27,0.0
332.5,79.00253581380582,2.2724999999999935e+27,0.0
337.6111111111111,80.00337318313291,2.3059999999999926e+27,0.0
342.75,81.0028024828863,2.2529999999999887e+27,0.0
347.9166666666667,82.00076452031055,2.2149999999999862e+27,0.0
353.1388888888889,83.00251143828552,2.226499999999987e+27,0.0
358.3888888888889,84.00260698292948,2.217999999999988e+27,0.0
363.6666666666667,85.00099716324945,2.1494999999999824e+27,0.0
369.0,86.00283123397173,2.1394999999999802e+27,0.0
374.3611111111111,87.00279248628658,2.1914999999999846e+27,0.0
379.75,88.00083796134066,2.118999999999981e+27,0.0
385.19444444444446,89.00201883844176,2.1184999999999783e+27,0.0
390.6666666666667,90.00113998909228,2.109499999999977e+27,0.0
396.19444444444446,91.00317586831778,2.0819999999999763e+27,0.0
401.75,92.00301678552898,2.099499999999974e+27,0.0
407.3333333333333,93.00063198894833,2.0609999999999782e+27,0.0
412.97222222222223,94.00090391091521,2.023999999999977e+27,0.0
418.6666666666667,95.0037098314732,2.0319999999999775e+27,0.0
424.3888888888889,96.00408316730153,2.0239999999999788e+27,0.0
430.1388888888889,97.00201179804219,2.0454999999999712e+27,0.0
435.94444444444446,98.00225522913274,2.0424999999999723e+27,0.0
441.80555555555554,99.00469573160404,2.0224999999999718e+27,0.0
447.69444444444446,100.00453090825812,1.9924999999999741e+27,0.0
453.6111111111111,101.00175353963624,1.9569999999999727e+27,0.0
459.5833333333333,102.00099763528448,1.946499999999976e+27,0.0
