TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
338,7.0718e+29,0.0000e+00,6.9320e+29,7.2200e+27,6.7600e+27,0.0000e+00,0.0000e+00,3.7479e+29,3.1841e+29,3.8400e+27,3.3800e+27,3.3900e+27,3.3700e+27,0.0000e+00,3.2300e+27,0.0000e+00,0.0000e+00,1.5605e+09,3.9106e-05,3.2130e+07,3.7802e+05,6.5198e+05,6.5062e+05,0.0,98.0,1.0,1.0,7.0646e+29,6.9083e+29,1.4090e+28,1.5400e+27,2.3698e+28,0.0000e+00,97.8,2.0,0.2
339,7.3339e+29,0.0000e+00,7.1904e+29,7.5500e+27,6.8000e+27,0.0000e+00,0.0000e+00,3.8663e+29,3.3241e+29,3.6600e+27,3.8900e+27,3.3600e+27,3.4400e+27,0.0000e+00,3.2700e+27,0.0000e+00,0.0000e+00,1.6147e+09,3.9106e-05,3.2127e+07,3.8770e+05,6.5329e+05,6.5199e+05,0.0,98.0,1.0,0.9,7.3264e+29,7.1592e+29,1.5240e+28,1.4800e+27,2.4023e+28,0.0000e+00,97.7,2.1,0.2
340,7.1904e+29,0.0000e+00,7.0496e+29,7.3700e+27,6.7100e+27,0.0000e+00,0.0000e+00,3.8689e+29,3.1807e+29,3.6500e+27,3.7200e+27,3.2700e+27,3.4400e+27,0.0000e+00,3.4100e+27,0.0000e+00,0.0000e+00,1.5236e+09,3.9106e-05,3.2183e+07,3.9239e+05,6.5453e+05,6.5330e+05,0.0,98.0,1.0,0.9,7.1915e+29,7.0165e+29,1.5750e+28,1.7500e+27,2.3825e+28,0.0000e+00,97.6,2.2,0.2
341,7.3592e+29,0.0000e+00,7.2199e+29,7.1100e+27,6.8200e+27,0.0000e+00,0.0000e+00,3.9945e+29,3.2254e+29,3.6600e+27,3.4500e+27,3.3400e+27,3.4800e+27,0.0000e+00,3.2400e+27,0.0000e+00,0.0000e+00,1.7084e+09,1.9553e-05,3.2279e+07,4.0917e+05,6.5572e+05,6.5454e+05,0.0,98.1,1.0,0.9,7.3461e+29,7.1699e+29,1.6250e+28,1.3700e+27,2.4138e+28,0.0000e+00,97.6,2.2,0.2
342,7.3877e+29,0.0000e+00,7.2547e+29,6.5600e+27,6.7400e+27,0.0000e+00,0.0000e+00,3.8733e+29,3.3814e+29,3.2500e+27,3.3100e+27,3.2800e+27,3.4600e+27,0.0000e+00,3.0200e+27,0.0000e+00,0.0000e+00,1.5993e+09,1.9553e-05,3.2091e+07,3.9850e+05,6.5685e+05,6.5573e+05,0.0,98.2,0.9,0.9,7.3899e+29,7.2144e+29,1.6370e+28,1.1800e+27,2.4098e+28,0.0000e+00,97.6,2.2,0.2
343,7.5532e+29,0.0000e+00,7.4164e+29,6.9100e+27,6.7700e+27,0.0000e+00,0.0000e+00,3.9834e+29,3.4330e+29,3.5800e+27,3.3300e+27,3.3300e+27,3.4400e+27,0.0000e+00,3.1600e+27,0.0000e+00,0.0000e+00,1.6990e+09,1.9553e-05,3.1936e+07,3.7787e+05,6.5791e+05,6.5685e+05,0.0,98.2,0.9,0.9,7.5485e+29,7.3763e+29,1.5970e+28,1.2500e+27,2.4224e+28,0.0000e+00,97.7,2.1,0.2
344,7.5281e+29,0.0000e+00,7.3893e+29,7.0400e+27,6.8400e+27,0.0000e+00,0.0000e+00,3.9843e+29,3.4050e+29,3.5900e+27,3.4500e+27,3.4400e+27,3.4000e+27,0.0000e+00,3.0600e+27,0.0000e+00,0.0000e+00,1.7844e+09,1.9553e-05,3.1853e+07,3.7617e+05,6.5891e+05,6.5791e+05,0.0,98.2,0.9,0.9,7.5164e+29,7.3411e+29,1.6250e+28,1.2800e+27,2.4343e+28,0.0000e+00,97.7,2.2,0.2
345,7.6670e+29,0.0000e+00,7.5291e+29,6.9700e+27,6.8200e+27,0.0000e+00,0.0000e+00,3.9686e+29,3.5605e+29,3.5500e+27,3.4200e+27,3.4400e+27,3.3800e+27,0.0000e+00,3.0800e+27,0.0000e+00,0.0000e+00,1.5216e+09,1.9553e-05,3.1973e+07,3.9177e+05,6.5985e+05,6.5892e+05,0.0,98.2,0.9,0.9,7.6678e+29,7.4867e+29,1.6760e+28,1.3500e+27,2.4456e+28,0.0000e+00,97.6,2.2,0.2
346,7.8033e+29,0.0000e+00,7.6662e+29,6.9800e+27,6.7300e+27,0.0000e+00,0.0000e+00,4.0928e+29,3.5734e+29,3.4900e+27,3.4900e+27,3.5600e+27,3.1700e+27,0.0000e+00,3.1700e+27,0.0000e+00,0.0000e+00,1.7638e+09,1.9553e-05,3.1974e+07,3.7190e+05,6.6073e+05,6.5986e+05,0.0,98.2,0.9,0.9,7.8044e+29,7.6116e+29,1.8180e+28,1.1000e+27,2.4384e+28,0.0000e+00,97.5,2.3,0.1
347,7.9706e+29,0.0000e+00,7.8316e+29,7.0600e+27,6.8400e+27,0.0000e+00,0.0000e+00,4.1348e+29,3.6968e+29,3.4800e+27,3.5800e+27,3.5900e+27,3.2500e+27,0.0000e+00,3.0400e+27,0.0000e+00,0.0000e+00,1.5868e+09,1.9553e-05,3.1935e+07,3.7277e+05,6.6154e+05,6.6073e+05,0.0,98.3,0.9,0.9,7.9497e+29,7.7544e+29,1.8200e+28,1.3300e+27,2.4661e+28,0.0000e+00,97.5,2.3,0.2
348,8.1015e+29,0.0000e+00,7.9628e+29,7.0800e+27,6.7900e+27,0.0000e+00,0.0000e+00,4.2135e+29,3.7493e+29,3.6000e+27,3.4800e+27,3.2900e+27,3.5000e+27,0.0000e+00,2.8000e+27,0.0000e+00,0.0000e+00,1.7719e+09,1.9553e-05,3.1836e+07,3.5957e+05,6.6229e+05,6.6155e+05,0.0,98.3,0.9,0.8,8.1021e+29,7.8977e+29,1.9060e+28,1.3800e+27,2.4573e+28,0.0000e+00,97.5,2.4,0.2
349,8.3068e+29,0.0000e+00,8.1673e+29,7.1400e+27,6.8100e+27,0.0000e+00,0.0000e+00,4.2446e+29,3.9227e+29,3.7000e+27,3.4400e+27,3.3500e+27,3.4600e+27,0.0000e+00,2.6500e+27,0.0000e+00,0.0000e+00,1.9999e+09,1.9553e-05,3.1780e+07,3.7296e+05,6.6298e+05,6.6230e+05,0.0,98.3,0.9,0.8,8.3019e+29,8.1036e+29,1.8730e+28,1.1000e+27,2.4656e+28,0.0000e+00,97.6,2.3,0.1
