TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
153,2.1237e+30,1.0989e+30,9.9662e+29,2.1040e+28,7.1100e+27,9.9904e+29,9.9840e+28,8.4546e+29,1.5116e+29,1.6910e+28,4.1300e+27,3.5000e+27,3.6100e+27,6.2656e+08,1.4281e+06,1.1826e+09,3.4534e-17,1.1588e+08,5.6469e+05,3.1793e+05,3.1675e+05,51.7,46.9,1.0,0.3,2.1231e+30,2.0924e+30,2.4540e+28,6.1500e+27,1.0297e+28,0.0000e+00,98.6,1.2,0.3
154,2.1742e+30,1.1249e+30,1.0210e+30,2.1290e+28,6.9500e+27,1.0220e+30,1.0292e+29,8.7335e+29,1.4767e+29,1.6860e+28,4.4300e+27,3.6100e+27,3.3400e+27,6.2413e+08,9.7580e+05,1.1407e+09,3.1705e-11,1.1072e+08,6.0416e+05,3.1675e+05,3.1561e+05,51.7,47.0,1.0,0.3,2.1733e+30,2.1419e+30,2.6000e+28,5.3500e+27,1.0196e+28,0.0000e+00,98.6,1.2,0.2
155,2.2211e+30,1.1385e+30,1.0554e+30,2.0320e+28,6.9700e+27,1.0359e+30,1.0253e+29,9.0082e+29,1.5456e+29,1.5900e+28,4.4200e+27,3.5000e+27,3.4700e+27,6.2143e+08,5.4432e+05,1.2915e+09,7.3743e-13,1.0512e+08,7.6537e+05,3.1561e+05,3.1452e+05,51.3,47.5,0.9,0.3,2.2192e+30,2.1884e+30,2.5580e+28,5.2200e+27,1.0133e+28,0.0000e+00,98.6,1.2,0.2
156,2.2851e+30,1.1622e+30,1.0950e+30,2.0950e+28,6.9900e+27,1.0569e+30,1.0521e+29,9.3413e+29,1.6087e+29,1.6450e+28,4.5000e+27,3.5700e+27,3.4200e+27,6.1945e+08,6.0320e+04,1.2640e+09,1.0681e-20,9.9866e+07,8.2888e+05,3.1451e+05,3.1346e+05,50.9,47.9,0.9,0.3,2.2841e+30,2.2520e+30,2.6870e+28,5.2900e+27,1.0107e+28,0.0000e+00,98.6,1.2,0.2
157,2.3282e+30,1.1765e+30,1.1198e+30,2.4880e+28,7.0600e+27,1.0541e+30,1.2239e+29,9.2921e+29,1.9060e+29,1.9580e+28,5.3000e+27,3.6600e+27,3.4000e+27,6.1745e+08,3.8267e+02,1.1640e+09,1.0031e-20,1.2506e+08,8.6765e+05,3.1346e+05,3.1245e+05,50.5,48.1,1.1,0.3,2.3277e+30,2.2951e+30,2.7140e+28,5.4000e+27,1.0051e+28,0.0000e+00,98.6,1.2,0.2
158,2.3758e+30,1.1966e+30,1.1475e+30,2.4740e+28,6.9400e+27,1.0723e+30,1.2429e+29,9.5452e+29,1.9298e+29,1.9170e+28,5.5700e+27,3.4800e+27,3.4600e+27,6.1536e+08,9.8310e+05,1.3237e+09,5.7107e-13,1.1944e+08,8.6974e+05,3.1245e+05,3.1149e+05,50.4,48.3,1.0,0.3,2.3764e+30,2.3427e+30,2.7990e+28,5.7100e+27,9.9662e+27,0.0000e+00,98.6,1.2,0.2
159,2.4451e+30,1.2237e+30,1.1895e+30,2.4670e+28,7.1800e+27,1.0968e+30,1.2693e+29,9.9393e+29,1.9555e+29,1.9230e+28,5.4400e+27,3.8100e+27,3.3700e+27,6.1183e+08,5.9022e+05,1.2792e+09,1.0178e-11,1.1419e+08,9.2839e+05,3.1149e+05,3.1057e+05,50.0,48.6,1.0,0.3,2.4434e+30,2.4088e+30,2.9130e+28,5.4400e+27,9.9507e+27,0.0000e+00,98.6,1.2,0.2
160,2.4888e+30,1.2337e+30,1.2233e+30,2.4680e+28,7.1000e+27,1.1046e+30,1.2911e+29,1.0291e+30,1.9422e+29,1.8850e+28,5.8300e+27,3.4100e+27,3.6900e+27,6.0845e+08,1.8788e+05,1.4154e+09,8.5186e-17,1.0909e+08,1.0029e+06,3.1057e+05,3.0969e+05,49.6,49.2,1.0,0.3,2.4872e+30,2.4526e+30,2.9270e+28,5.2900e+27,9.8734e+27,0.0000e+00,98.6,1.2,0.2
161,2.5377e+30,1.2525e+30,1.2505e+30,2.7630e+28,7.0000e+27,1.1098e+30,1.4276e+29,1.0350e+30,2.1552e+29,2.1820e+28,5.8100e+27,3.3100e+27,3.6900e+27,6.0573e+08,8.6080e+02,1.2851e+09,1.0156e-20,1.2661e+08,9.6439e+05,3.0969e+05,3.0886e+05,49.4,49.3,1.1,0.3,2.5370e+30,2.5018e+30,2.9740e+28,5.5300e+27,9.8326e+27,0.0000e+00,98.6,1.2,0.2
162,2.6094e+30,1.2786e+30,1.2935e+30,3.0330e+28,6.9900e+27,1.1268e+30,1.5180e+29,1.0566e+30,2.3690e+29,2.3450e+28,6.8800e+27,3.4600e+27,3.5300e+27,6.0248e+08,1.4098e+06,1.3911e+09,6.3866e-15,1.2258e+08,1.1080e+06,3.0886e+05,3.0808e+05,49.0,49.6,1.2,0.3,2.6090e+30,2.5724e+30,3.0430e+28,6.1100e+27,9.8272e+27,0.0000e+00,98.6,1.2,0.2
163,2.6498e+30,1.2957e+30,1.3173e+30,2.9820e+28,6.9900e+27,1.1411e+30,1.5463e+29,1.0831e+30,2.3421e+29,2.2960e+28,6.8600e+27,3.7500e+27,3.2400e+27,5.9877e+08,9.0140e+05,1.3244e+09,5.9894e-11,1.1721e+08,1.0988e+06,3.0807e+05,3.0733e+05,48.9,49.7,1.1,0.3,2.6476e+30,2.6109e+30,3.1210e+28,5.4900e+27,9.7615e+27,0.0000e+00,98.6,1.2,0.2
164,2.6887e+30,1.3060e+30,1.3462e+30,2.9460e+28,7.0000e+27,1.1518e+30,1.5421e+29,1.1178e+30,2.2832e+29,2.2390e+28,7.0700e+27,3.2200e+27,3.7800e+27,5.9400e+08,3.7221e+05,1.2047e+09,8.3895e-15,1.1149e+08,1.1695e+06,3.0733e+05,3.0664e+05,48.6,50.1,1.1,0.3,2.6896e+30,2.6528e+30,3.1240e+28,5.5600e+27,9.6999e+27,0.0000e+00,98.6,1.2,0.2
165,2.7687e+30,1.3381e+30,1.3929e+30,3.0520e+28,7.2000e+27,1.1721e+30,1.6600e+29,1.1443e+30,2.4852e+29,2.3320e+28,7.2000e+27,3.9300e+27,3.2700e+27,5.9068e+08,7.3076e+02,1.3594e+09,1.0014e-20,1.2921e+08,1.2147e+06,3.0664e+05,3.0598e+05,48.3,50.3,1.1,0.3,2.7676e+30,2.7295e+30,3.2580e+28,5.5200e+27,9.7052e+27,0.0000e+00,98.6,1.2,0.2
166,2.8091e+30,1.3495e+30,1.4176e+30,3.5120e+28,6.9700e+27,1.1671e+30,1.8242e+29,1.1352e+30,2.8238e+29,2.6740e+28,8.3800e+27,3.3900e+27,3.5800e+27,5.8557e+08,1.4724e+06,1.7587e+09,2.6356e-17,1.2794e+08,1.4120e+06,3.0598e+05,3.0538e+05,48.0,50.5,1.3,0.2,2.8071e+30,2.7673e+30,3.3460e+28,6.2900e+27,9.6512e+27,0.0000e+00,98.6,1.2,0.2
167,2.8510e+30,1.3642e+30,1.4456e+30,3.3990e+28,7.1800e+27,1.1769e+30,1.8731e+29,1.1667e+30,2.7890e+29,2.5640e+28,8.3500e+27,3.6000e+27,3.5800e+27,5.8168e+08,9.5911e+05,1.3122e+09,3.5318e-11,1.2214e+08,1.4127e+06,3.0537e+05,3.0481e+05,47.8,50.7,1.2,0.3,2.8506e+30,2.8127e+30,3.2300e+28,5.6200e+27,9.6323e+27,0.0000e+00,98.7,1.1,0.2
168,2.8720e+30,1.3740e+30,1.4573e+30,3.3620e+28,7.0300e+27,1.1903e+30,1.8370e+29,1.1875e+30,2.6982e+29,2.5350e+28,8.2700e+27,3.5000e+27,3.5300e+27,5.7697e+08,4.5110e+05,1.4420e+09,8.8129e-14,1.1636e+08,1.4846e+06,3.0481e+05,3.0429e+05,47.8,50.7,1.2,0.2,2.8723e+30,2.8329e+30,3.3670e+28,5.6900e+27,9.5862e+27,0.0000e+00,98.6,1.2,0.2
169,2.9217e+30,1.3933e+30,1.4878e+30,3.3670e+28,6.9600e+27,1.2023e+30,1.9101e+29,1.2092e+30,2.7862e+29,2.5220e+28,8.4500e+27,3.7300e+27,3.2300e+27,5.7241e+08,1.8881e+02,1.3952e+09,1.0116e-20,1.2798e+08,1.4731e+06,3.0429e+05,3.0382e+05,47.7,50.9,1.2,0.2,2.9208e+30,2.8816e+30,3.3800e+28,5.3800e+27,9.5748e+27,0.0000e+00,98.7,1.2,0.2
170,2.9719e+30,1.4050e+30,1.5207e+30,3.9040e+28,7.1700e+27,1.1919e+30,2.1308e+29,1.1961e+30,3.2464e+29,2.9440e+28,9.6000e+27,3.6500e+27,3.5200e+27,5.6782e+08,8.8332e+05,1.2568e+09,3.7749e-20,1.2723e+08,1.5847e+06,3.0382e+05,3.0339e+05,47.3,51.2,1.3,0.2,2.9706e+30,2.9306e+30,3.4210e+28,5.8000e+27,9.5364e+27,0.0000e+00,98.7,1.2,0.2
171,3.0318e+30,1.4252e+30,1.5610e+30,3.8560e+28,7.0500e+27,1.2102e+30,2.1505e+29,1.2379e+30,3.2310e+29,2.9040e+28,9.5200e+27,3.6000e+27,3.4500e+27,5.6224e+08,1.0875e+06,1.3545e+09,1.0821e-11,1.2207e+08,1.5964e+06,3.0339e+05,3.0301e+05,47.0,51.5,1.3,0.2,3.0307e+30,2.9890e+30,3.5470e+28,6.2100e+27,9.5324e+27,0.0000e+00,98.6,1.2,0.2
172,3.0564e+30,1.4376e+30,1.5748e+30,3.6930e+28,7.0900e+27,1.2191e+30,2.1842e+29,1.2494e+30,3.2542e+29,2.7290e+28,9.6400e+27,3.6300e+27,3.4600e+27,5.5802e+08,5.3829e+05,1.5358e+09,2.0881e-13,1.1660e+08,1.6000e+06,3.0301e+05,3.0267e+05,47.0,51.5,1.2,0.2,3.0556e+30,3.0145e+30,3.5080e+28,6.0000e+27,9.5017e+27,0.0000e+00,98.7,1.1,0.2
173,3.1250e+30,1.4578e+30,1.6236e+30,3.6630e+28,7.0300e+27,1.2354e+30,2.2234e+29,1.2976e+30,3.2598e+29,2.7010e+28,9.6200e+27,3.3800e+27,3.6500e+27,5.5370e+08,1.5391e+03,1.3623e+09,1.0004e-20,1.3036e+08,1.5983e+06,3.0267e+05,3.0237e+05,46.6,52.0,1.2,0.2,3.1243e+30,3.0823e+30,3.6080e+28,5.9600e+27,9.5052e+27,0.0000e+00,98.7,1.2,0.2
174,3.1542e+30,1.4666e+30,1.6388e+30,4.1940e+28,6.8800e+27,1.2111e+30,2.5547e+29,1.2504e+30,3.8849e+29,3.1440e+28,1.0500e+28,3.3800e+27,3.5000e+27,5.5066e+08,2.5555e+05,1.6221e+09,1.0025e-20,1.2997e+08,1.9988e+06,3.0237e+05,3.0213e+05,46.5,52.0,1.3,0.2,3.1548e+30,3.1124e+30,3.5640e+28,6.7200e+27,9.4821e+27,0.0000e+00,98.7,1.1,0.2
175,3.1800e+30,1.4761e+30,1.6546e+30,4.2340e+28,6.9900e+27,1.2236e+30,2.5249e+29,1.2746e+30,3.7997e+29,3.1460e+28,1.0880e+28,3.3700e+27,3.6200e+27,5.4624e+08,1.3172e+06,1.5006e+09,4.3192e-12,1.2457e+08,2.1366e+06,3.0213e+05,3.0192e+05,46.4,52.0,1.3,0.2,3.1789e+30,3.1355e+30,3.6740e+28,6.6400e+27,9.4629e+27,0.0000e+00,98.6,1.2,0.2
176,3.2065e+30,1.4792e+30,1.6795e+30,4.0810e+28,6.9900e+27,1.2273e+30,2.5189e+29,1.3096e+30,3.6989e+29,3.0000e+28,1.0810e+28,3.6400e+27,3.3500e+27,5.4184e+08,6.9669e+05,1.5701e+09,6.4430e-13,1.1988e+08,2.0884e+06,3.0192e+05,3.0176e+05,46.1,52.4,1.3,0.2,3.2044e+30,3.1602e+30,3.7950e+28,6.2800e+27,9.4476e+27,0.0000e+00,98.6,1.2,0.2
177,3.2232e+30,1.4927e+30,1.6839e+30,3.9520e+28,7.1000e+27,1.2383e+30,2.5440e+29,1.3261e+30,3.5788e+29,2.8400e+28,1.1120e+28,3.5300e+27,3.5700e+27,5.3818e+08,2.7263e+04,1.4755e+09,1.0506e-20,1.1484e+08,2.1106e+06,3.0176e+05,3.0165e+05,46.3,52.2,1.2,0.2,3.2242e+30,3.1812e+30,3.7190e+28,5.8300e+27,9.4662e+27,0.0000e+00,98.7,1.2,0.2
178,3.2620e+30,1.4985e+30,1.7115e+30,4.4940e+28,7.0900e+27,1.2092e+30,2.8927e+29,1.2823e+30,4.2915e+29,3.3200e+28,1.1740e+28,3.3700e+27,3.7200e+27,5.3256e+08,1.0411e+03,1.4368e+09,1.0146e-20,1.2969e+08,2.1447e+06,3.0165e+05,3.0158e+05,45.9,52.5,1.4,0.2,3.2608e+30,3.2162e+30,3.8140e+28,6.4800e+27,9.4284e+27,0.0000e+00,98.6,1.2,0.2
179,3.3045e+30,1.5123e+30,1.7411e+30,4.3920e+28,7.2800e+27,1.2245e+30,2.8778e+29,1.3154e+30,4.2561e+29,3.1800e+28,1.2120e+28,3.8100e+27,3.4700e+27,5.2801e+08,1.5040e+06,1.4955e+09,1.7423e-12,1.2452e+08,2.2454e+06,3.0158e+05,3.0156e+05,45.8,52.7,1.3,0.2,3.3048e+30,3.2599e+30,3.8640e+28,6.2600e+27,9.4547e+27,0.0000e+00,98.6,1.2,0.2
180,3.3241e+30,1.5181e+30,1.7535e+30,4.5300e+28,7.1700e+27,1.2326e+30,2.8549e+29,1.3380e+30,4.1548e+29,3.2140e+28,1.3160e+28,3.6100e+27,3.5600e+27,5.2566e+08,8.1109e+05,1.5219e+09,1.2093e-12,1.1944e+08,2.2410e+06,3.0158e+05,3.0156e+05,45.7,52.8,1.4,0.2,3.3204e+30,3.2745e+30,3.9260e+28,6.6100e+27,9.4246e+27,0.0000e+00,98.6,1.2,0.2
181,3.3448e+30,1.5316e+30,1.7642e+30,4.1700e+28,7.2800e+27,1.2430e+30,2.8856e+29,1.3552e+30,4.0899e+29,2.9480e+28,1.2220e+28,3.6600e+27,3.6200e+27,5.2526e+08,8.4063e+04,1.5472e+09,1.1537e-20,1.1442e+08,2.4666e+06,3.0165e+05,3.0158e+05,45.8,52.7,1.2,0.2,3.3470e+30,3.3015e+30,3.8680e+28,6.8200e+27,9.4586e+27,0.0000e+00,98.6,1.2,0.2
182,3.3707e+30,1.5293e+30,1.7884e+30,4.6090e+28,7.0100e+27,1.2105e+30,3.1874e+29,1.3133e+30,4.7506e+29,3.3660e+28,1.2430e+28,3.4600e+27,3.5500e+27,5.2576e+08,1.9139e+03,1.6147e+09,1.0159e-20,1.3144e+08,2.5078e+06,3.0176e+05,3.0165e+05,45.4,53.1,1.4,0.2,3.3688e+30,3.3230e+30,3.9060e+28,6.7200e+27,9.4361e+27,0.0000e+00,98.6,1.2,0.2
183,3.4027e+30,1.5421e+30,1.8083e+30,4.5270e+28,7.0200e+27,1.2170e+30,3.2515e+29,1.3314e+30,4.7689e+29,3.1840e+28,1.3430e+28,3.1400e+27,3.8800e+27,5.2456e+08,1.6931e+06,1.4854e+09,7.6838e-13,1.2619e+08,2.7136e+06,3.0192e+05,3.0176e+05,45.3,53.1,1.3,0.2,3.4036e+30,3.3562e+30,4.0640e+28,6.8200e+27,9.4476e+27,0.0000e+00,98.6,1.2,0.2
