TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
148,5.5771e+29,0.0000e+00,4.7562e+29,7.5180e+28,6.9100e+27,0.0000e+00,0.0000e+00,4.1516e+29,6.0460e+28,6.5190e+28,9.9900e+27,3.4300e+27,3.4800e+27,0.0000e+00,7.2000e+26,0.0000e+00,0.0000e+00,1.0660e+09,9.8827e-08,7.8893e+07,1.3148e+06,3.2449e+05,3.2310e+05,0.0,85.3,13.5,1.2,5.5713e+29,5.3400e+29,7.1700e+27,1.5960e+28,4.8015e+27,0.0000e+00,95.8,1.3,2.9
149,5.7103e+29,0.0000e+00,4.8901e+29,7.5070e+28,6.9500e+27,0.0000e+00,0.0000e+00,4.2656e+29,6.2450e+28,6.5140e+28,9.9300e+27,3.2000e+27,3.7500e+27,0.0000e+00,6.9000e+26,0.0000e+00,0.0000e+00,1.0325e+09,6.7903e-07,7.7607e+07,1.3378e+06,3.2309e+05,3.2174e+05,0.0,85.6,13.1,1.2,5.7150e+29,5.4724e+29,7.7100e+27,1.6550e+28,4.7457e+27,0.0000e+00,95.8,1.3,2.9
150,5.7244e+29,0.0000e+00,4.9158e+29,7.3850e+28,7.0100e+27,0.0000e+00,0.0000e+00,4.3129e+29,6.0290e+28,6.3690e+28,1.0160e+28,3.5600e+27,3.4500e+27,0.0000e+00,7.8000e+26,0.0000e+00,0.0000e+00,9.4379e+08,1.0896e-07,7.6461e+07,1.3520e+06,3.2174e+05,3.2043e+05,0.0,85.9,12.9,1.2,5.7153e+29,5.4822e+29,7.2900e+27,1.6020e+28,4.7084e+27,0.0000e+00,95.9,1.3,2.8
151,5.8122e+29,0.0000e+00,5.0224e+29,7.1980e+28,7.0000e+27,0.0000e+00,0.0000e+00,4.4507e+29,5.7170e+28,6.2140e+28,9.8400e+27,3.7200e+27,3.2800e+27,0.0000e+00,8.9000e+26,0.0000e+00,0.0000e+00,1.1745e+09,3.7849e-12,7.5296e+07,1.3883e+06,3.2043e+05,3.1916e+05,0.0,86.4,12.4,1.2,5.8146e+29,5.5820e+29,7.8500e+27,1.5410e+28,4.6416e+27,0.0000e+00,96.0,1.4,2.7
152,5.8394e+29,0.0000e+00,5.0265e+29,7.4270e+28,7.0200e+27,0.0000e+00,0.0000e+00,4.4325e+29,5.9400e+28,6.3780e+28,1.0490e+28,3.7100e+27,3.3100e+27,0.0000e+00,7.9000e+26,0.0000e+00,0.0000e+00,9.9804e+08,2.4495e-12,7.5215e+07,1.3684e+06,3.1916e+05,3.1794e+05,0.0,86.1,12.7,1.2,5.8389e+29,5.6118e+29,7.5400e+27,1.5170e+28,4.6087e+27,0.0000e+00,96.1,1.3,2.6
153,6.1956e+29,0.0000e+00,5.2748e+29,8.4970e+28,7.1100e+27,0.0000e+00,0.0000e+00,4.4859e+29,7.8890e+28,7.0250e+28,1.4720e+28,3.5000e+27,3.6100e+27,0.0000e+00,7.5000e+26,0.0000e+00,0.0000e+00,1.0133e+09,1.3391e-09,7.4678e+07,1.6137e+06,3.1793e+05,3.1675e+05,0.0,85.1,13.7,1.1,6.1824e+29,5.9237e+29,8.6000e+27,1.7270e+28,4.5777e+27,0.0000e+00,95.8,1.4,2.8
154,6.1643e+29,0.0000e+00,5.2796e+29,8.1520e+28,6.9500e+27,0.0000e+00,0.0000e+00,4.5112e+29,7.6840e+28,6.8250e+28,1.3270e+28,3.6100e+27,3.3400e+27,0.0000e+00,9.2000e+26,0.0000e+00,0.0000e+00,1.0866e+09,3.0666e-11,7.3415e+07,1.6258e+06,3.1675e+05,3.1561e+05,0.0,85.6,13.2,1.1,6.1632e+29,5.9099e+29,8.0700e+27,1.7260e+28,4.5183e+27,0.0000e+00,95.9,1.3,2.8
155,6.1762e+29,0.0000e+00,5.3056e+29,8.0090e+28,6.9700e+27,0.0000e+00,0.0000e+00,4.6128e+29,6.9280e+28,6.6650e+28,1.3440e+28,3.5000e+27,3.4700e+27,0.0000e+00,1.0000e+27,0.0000e+00,0.0000e+00,1.0728e+09,5.1109e-12,7.2097e+07,1.6644e+06,3.1561e+05,3.1452e+05,0.0,85.9,13.0,1.1,6.1692e+29,5.9158e+29,8.6700e+27,1.6670e+28,4.4768e+27,0.0000e+00,95.9,1.4,2.7
156,6.3965e+29,0.0000e+00,5.5331e+29,7.9350e+28,6.9900e+27,0.0000e+00,0.0000e+00,4.8277e+29,7.0540e+28,6.5300e+28,1.4050e+28,3.5700e+27,3.4200e+27,0.0000e+00,7.4000e+26,0.0000e+00,0.0000e+00,1.0475e+09,2.4544e-12,7.1206e+07,1.7006e+06,3.1451e+05,3.1346e+05,0.0,86.5,12.4,1.1,6.4085e+29,6.1559e+29,8.6100e+27,1.6650e+28,4.4523e+27,0.0000e+00,96.1,1.3,2.6
157,6.5317e+29,0.0000e+00,5.5782e+29,8.8290e+28,7.0600e+27,0.0000e+00,0.0000e+00,4.6584e+29,9.1980e+28,7.0710e+28,1.7580e+28,3.6600e+27,3.4000e+27,0.0000e+00,7.2000e+26,0.0000e+00,0.0000e+00,1.0950e+09,1.1618e-07,7.1855e+07,1.7059e+06,3.1346e+05,3.1245e+05,0.0,85.4,13.5,1.1,6.5240e+29,6.2615e+29,9.1600e+27,1.7090e+28,4.4150e+27,0.0000e+00,96.0,1.4,2.6
