TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped,Hop_Count,Hop_Per_Particle
141,1.3611e+30,7.1927e+29,6.2663e+29,8.1270e+27,7.0330e+27,6.5150e+29,6.7770e+28,5.1733e+29,1.0930e+29,5.8760e+27,2.2510e+27,3.5850e+27,3.4480e+27,52.8,46.0,0.6,0.5,1.3608e+30,1.3401e+30,1.5834e+28,4.8910e+27,1.6724e+28,0.0000e+00,98.5,1.2,0.4,4.6708e+28,0.0343
142,1.3894e+30,7.3157e+29,6.4283e+29,8.0020e+27,7.0270e+27,6.6386e+29,6.7713e+28,5.3462e+29,1.0822e+29,5.7570e+27,2.2450e+27,3.5110e+27,3.5160e+27,52.7,46.3,0.6,0.5,1.3887e+30,1.3679e+30,1.6060e+28,4.8170e+27,1.6597e+28,0.0000e+00,98.5,1.2,0.3,4.8278e+28,0.0348
143,1.4221e+30,7.4521e+29,6.6028e+29,9.5320e+27,7.0400e+27,6.7199e+29,7.3216e+28,5.4118e+29,1.1910e+29,7.0960e+27,2.4360e+27,3.6000e+27,3.4400e+27,52.4,46.4,0.7,0.5,1.4216e+30,1.4001e+30,1.6509e+28,4.9280e+27,1.6532e+28,0.0000e+00,98.5,1.2,0.3,4.9844e+28,0.0351
144,1.4601e+30,7.6207e+29,6.8094e+29,1.0048e+28,7.0520e+27,6.8666e+29,7.5411e+28,5.5768e+29,1.2326e+29,7.5280e+27,2.5200e+27,3.5110e+27,3.5410e+27,52.2,46.6,0.7,0.5,1.4596e+30,1.4378e+30,1.6877e+28,4.9250e+27,1.6470e+28,0.0000e+00,98.5,1.2,0.3,5.1510e+28,0.0353
145,1.4929e+30,7.7544e+29,7.0051e+29,9.9480e+27,7.0370e+27,6.9982e+29,7.5623e+28,5.7871e+29,1.2180e+29,7.3910e+27,2.5570e+27,3.4930e+27,3.5440e+27,51.9,46.9,0.7,0.5,1.4920e+30,1.4698e+30,1.7329e+28,4.8490e+27,1.6354e+28,0.0000e+00,98.5,1.2,0.3,5.3610e+28,0.0359
146,1.5289e+30,7.8743e+29,7.2435e+29,1.0045e+28,7.0300e+27,7.1211e+29,7.5327e+28,6.0388e+29,1.2047e+29,7.5320e+27,2.5130e+27,3.5030e+27,3.5270e+27,51.5,47.4,0.7,0.5,1.5287e+30,1.5065e+30,1.7654e+28,4.5540e+27,1.6243e+28,0.0000e+00,98.5,1.2,0.3,5.5756e+28,0.0365
147,1.5664e+30,8.0296e+29,7.4620e+29,1.0201e+28,7.0660e+27,7.2715e+29,7.5807e+28,6.2699e+29,1.1921e+29,7.5290e+27,2.6720e+27,3.5460e+27,3.5200e+27,51.3,47.6,0.7,0.5,1.5657e+30,1.5432e+30,1.8030e+28,4.4600e+27,1.6192e+28,0.0000e+00,98.6,1.2,0.3,5.8141e+28,0.0371
148,1.6038e+30,8.1736e+29,7.6670e+29,1.2711e+28,7.0480e+27,7.3272e+29,8.4646e+28,6.2810e+29,1.3861e+29,9.7960e+27,2.9150e+27,3.4890e+27,3.5590e+27,51.0,47.8,0.8,0.4,1.6030e+30,1.5796e+30,1.8678e+28,4.7030e+27,1.6089e+28,0.0000e+00,98.5,1.2,0.3,5.9796e+28,0.0373
149,1.6371e+30,8.3132e+29,7.8626e+29,1.2495e+28,7.0490e+27,7.4563e+29,8.5688e+28,6.4771e+29,1.3855e+29,9.6090e+27,2.8860e+27,3.4800e+27,3.5690e+27,50.8,48.0,0.8,0.4,1.6367e+30,1.6127e+30,1.9155e+28,4.7710e+27,1.5990e+28,0.0000e+00,98.5,1.2,0.3,6.2374e+28,0.0381
150,1.6800e+30,8.4661e+29,8.1377e+29,1.2545e+28,7.0380e+27,7.6006e+29,8.6556e+28,6.7560e+29,1.3817e+29,9.5470e+27,2.9980e+27,3.4730e+27,3.5650e+27,50.4,48.4,0.7,0.4,1.6790e+30,1.6548e+30,1.9630e+28,4.5640e+27,1.5896e+28,0.0000e+00,98.6,1.2,0.3,6.5202e+28,0.0388
