TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
201,3.5151e+30,8.8063e+29,2.6004e+30,2.7060e+28,7.0400e+27,6.9686e+29,1.8376e+29,1.9853e+30,6.1507e+29,1.8242e+28,8.8180e+27,3.5540e+27,3.4860e+27,25.1,74.0,0.8,0.2,3.5167e+30,3.4773e+30,3.5109e+28,4.2960e+27,1.5354e+28,0.0000e+00,98.9,1.0,0.1
202,3.4336e+30,8.7568e+29,2.5244e+30,2.6484e+28,7.0670e+27,6.9578e+29,1.7991e+29,1.9535e+30,5.7091e+29,1.7623e+28,8.8610e+27,3.5730e+27,3.4940e+27,25.5,73.5,0.8,0.2,3.4347e+30,3.3960e+30,3.4405e+28,4.2690e+27,1.5464e+28,0.0000e+00,98.9,1.0,0.1
203,3.3305e+30,8.6471e+29,2.4304e+30,2.8371e+28,7.0520e+27,6.7620e+29,1.8851e+29,1.8166e+30,6.1378e+29,1.9301e+28,9.0700e+27,3.4910e+27,3.5610e+27,26.0,73.0,0.9,0.2,3.3318e+30,3.2938e+30,3.3358e+28,4.6240e+27,1.5476e+28,0.0000e+00,98.9,1.0,0.1
204,3.2466e+30,8.5992e+29,2.3522e+30,2.7369e+28,7.0760e+27,6.7439e+29,1.8553e+29,1.7803e+30,5.7194e+29,1.8526e+28,8.8430e+27,3.5020e+27,3.5740e+27,26.5,72.5,0.8,0.2,3.2482e+30,3.2106e+30,3.2889e+28,4.6490e+27,1.5596e+28,0.0000e+00,98.8,1.0,0.1
205,3.1432e+30,8.4954e+29,2.2604e+30,2.6216e+28,7.0460e+27,6.6990e+29,1.7964e+29,1.7379e+30,5.2254e+29,1.7528e+28,8.6880e+27,3.5200e+27,3.5260e+27,27.0,71.9,0.8,0.2,3.1447e+30,3.1087e+30,3.1412e+28,4.6290e+27,1.5616e+28,0.0000e+00,98.9,1.0,0.1
206,3.0470e+30,8.4055e+29,2.1743e+30,2.5069e+28,7.0660e+27,6.6615e+29,1.7440e+29,1.6962e+30,4.7813e+29,1.6682e+28,8.3870e+27,3.5460e+27,3.5200e+27,27.6,71.4,0.8,0.2,3.0484e+30,3.0131e+30,3.0627e+28,4.6080e+27,1.5693e+28,0.0000e+00,98.8,1.0,0.2
207,2.9588e+30,8.3149e+29,2.0944e+30,2.5801e+28,7.0400e+27,6.5587e+29,1.7563e+29,1.6185e+30,4.7595e+29,1.7301e+28,8.5000e+27,3.5160e+27,3.5240e+27,28.1,70.8,0.9,0.2,2.9607e+30,2.9267e+30,2.9357e+28,4.6180e+27,1.5774e+28,0.0000e+00,98.9,1.0,0.2
208,2.8672e+30,8.2367e+29,2.0101e+30,2.6372e+28,7.0580e+27,6.4598e+29,1.7769e+29,1.5386e+30,4.7153e+29,1.7958e+28,8.4140e+27,3.5520e+27,3.5060e+27,28.7,70.1,0.9,0.2,2.8683e+30,2.8344e+30,2.8777e+28,5.0680e+27,1.5860e+28,0.0000e+00,98.8,1.0,0.2
209,2.7802e+30,8.1536e+29,1.9327e+30,2.5078e+28,7.0610e+27,6.4292e+29,1.7244e+29,1.5002e+30,4.3246e+29,1.6810e+28,8.2680e+27,3.5000e+27,3.5610e+27,29.3,69.5,0.9,0.3,2.7814e+30,2.7483e+30,2.8174e+28,4.9910e+27,1.5950e+28,0.0000e+00,98.8,1.0,0.2
210,2.6890e+30,8.0450e+29,1.8536e+30,2.3901e+28,7.0550e+27,6.3748e+29,1.6702e+29,1.4562e+30,3.9735e+29,1.5710e+28,8.1910e+27,3.5190e+27,3.5360e+27,29.9,68.9,0.9,0.3,2.6902e+30,2.6579e+30,2.7307e+28,5.0350e+27,1.5990e+28,0.0000e+00,98.8,1.0,0.2
