TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
12,1,0.0500,0.1000,6.5700e+27,3.6000e+26,2.8700e+27,2.2000e+26,1.0693e+31,5.9157e+30,137
12,2,0.1000,0.2000,1.7450e+28,5.3100e+27,9.5800e+27,3.1300e+27,1.5831e+31,8.6945e+30,137
12,3,0.2000,0.3500,1.9280e+28,1.9330e+28,1.4470e+28,1.5900e+28,9.6907e+30,7.1260e+30,137
12,4,0.3500,0.5500,1.9080e+28,5.6040e+28,1.6640e+28,5.2230e+28,5.6038e+30,4.7749e+30,137
12,5,0.5500,1.0100,1.8190e+28,2.4315e+29,1.7790e+28,2.3632e+29,3.4819e+30,3.2807e+30,137
13,0,0.0000,0.0500,1.9180e+28,3.0000e+25,3.5200e+27,4.0000e+25,1.2118e+32,1.8494e+31,137
13,1,0.0500,0.1000,6.3600e+27,3.6000e+26,3.3000e+27,2.0000e+26,1.0523e+31,5.9323e+30,137
13,2,0.1000,0.2000,1.6550e+28,5.1700e+27,9.3000e+27,3.0100e+27,1.5670e+31,8.6468e+30,137
13,3,0.2000,0.3500,1.9390e+28,1.9920e+28,1.4920e+28,1.5630e+28,9.6562e+30,7.1143e+30,137
13,4,0.3500,0.5500,1.8490e+28,5.6950e+28,1.6370e+28,4.9990e+28,5.5797e+30,4.7246e+30,137
13,5,0.5500,1.0100,1.8840e+28,2.5207e+29,1.8040e+28,2.3966e+29,3.5540e+30,3.2762e+30,137
14,0,0.0000,0.0500,1.8930e+28,4.0000e+25,3.7900e+27,3.0000e+25,1.2080e+32,1.7815e+31,138
14,1,0.0500,0.1000,6.3300e+27,4.1000e+26,3.1700e+27,2.6000e+26,1.0461e+31,6.7345e+30,138
14,2,0.1000,0.2000,1.6640e+28,4.6100e+27,9.5800e+27,3.0300e+27,1.5599e+31,8.6656e+30,138
14,3,0.2000,0.3500,1.9750e+28,1.8360e+28,1.5460e+28,1.6880e+28,9.5945e+30,7.2097e+30,138
14,4,0.3500,0.5500,1.9050e+28,5.9230e+28,1.5990e+28,5.2800e+28,5.6742e+30,4.7314e+30,138
14,5,0.5500,1.0100,1.9730e+28,2.5024e+29,1.8290e+28,2.4387e+29,3.6110e+30,3.3162e+30,138
15,0,0.0000,0.0500,1.8010e+28,2.0000e+25,3.3700e+27,1.0000e+25,1.1958e+32,1.7782e+31,138
15,1,0.0500,0.1000,5.8200e+27,4.3000e+26,3.2200e+27,2.1000e+26,1.0310e+31,6.7048e+30,138
15,2,0.1000,0.2000,1.6910e+28,4.4200e+27,9.8800e+27,2.9100e+27,1.5470e+31,8.4590e+30,138
15,3,0.2000,0.3500,1.8770e+28,1.8860e+28,1.5320e+28,1.6340e+28,9.4619e+30,7.5015e+30,138
15,4,0.3500,0.5500,1.9440e+28,5.7590e+28,1.6190e+28,4.9910e+28,5.7275e+30,4.8214e+30,138
15,5,0.5500,1.0100,1.8820e+28,2.4068e+29,1.7770e+28,2.2828e+29,3.6562e+30,3.2836e+30,138
16,0,0.0000,0.0500,1.7580e+28,2.0000e+25,4.0100e+27,4.0000e+25,1.1845e+32,1.7771e+31,138
16,1,0.0500,0.1000,6.1600e+27,4.7000e+26,3.4800e+27,2.5000e+26,1.0163e+31,6.6821e+30,138
