TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
110,6.9475e+29,4.7505e+29,2.1247e+29,2.4000e+26,6.9900e+27,4.3766e+29,3.7390e+28,1.4793e+29,6.4540e+28,1.5000e+26,9.0000e+25,3.7100e+27,3.2800e+27,2.3627e+29,1.2320e+28,6.8121e+08,1.5756e+06,9.7013e+08,1.2380e-10,1.7586e+06,1.2681e+04,4.0658e+05,4.0380e+05,68.4,30.6,0.0,1.0,6.9529e+29,6.7883e+29,8.4900e+27,7.9700e+27,8.2786e+27,0.0000e+00,97.6,1.2,1.1
111,7.0915e+29,4.8510e+29,2.1681e+29,2.8000e+26,6.9600e+27,4.4988e+29,3.5220e+28,1.5222e+29,6.4590e+28,1.8000e+26,1.0000e+26,3.2900e+27,3.6700e+27,2.4038e+29,1.2240e+28,6.8125e+08,1.0977e+06,8.4866e+08,1.2106e-12,1.7385e+06,1.0951e+04,4.0379e+05,4.0105e+05,68.4,30.6,0.0,1.0,7.0820e+29,6.9167e+29,8.6100e+27,7.9200e+27,8.1218e+27,0.0000e+00,97.7,1.2,1.1
112,7.2267e+29,4.9378e+29,2.2167e+29,2.8000e+26,6.9400e+27,4.5810e+29,3.5680e+28,1.5719e+29,6.4480e+28,1.6000e+26,1.2000e+26,3.4300e+27,3.5100e+27,2.1365e+29,9.0500e+27,6.7961e+08,4.6716e+05,7.6716e+08,1.9764e-16,1.7619e+06,1.5735e+04,4.0104e+05,3.9832e+05,68.3,30.7,0.0,1.0,7.2347e+29,7.0748e+29,8.7000e+27,7.2900e+27,8.0028e+27,0.0000e+00,97.8,1.2,1.0
113,7.3583e+29,5.0367e+29,2.2501e+29,2.0000e+26,6.9500e+27,4.6581e+29,3.7860e+28,1.5947e+29,6.5540e+28,1.5000e+26,5.0000e+25,3.5700e+27,3.3800e+27,2.0042e+29,7.6800e+27,6.7729e+08,1.6846e+03,7.8416e+08,1.0001e-20,1.9544e+06,1.1780e+04,3.9830e+05,3.9561e+05,68.4,30.6,0.0,0.9,7.3526e+29,7.1894e+29,9.0800e+27,7.2400e+27,7.8851e+27,0.0000e+00,97.8,1.2,1.0
114,7.5638e+29,5.2220e+29,2.2670e+29,4.6000e+26,7.0200e+27,4.8279e+29,3.9410e+28,1.6461e+29,6.2090e+28,3.3000e+26,1.3000e+26,3.4100e+27,3.6100e+27,2.1142e+29,8.9500e+27,6.7518e+08,2.2941e+06,9.5844e+08,5.3759e-19,1.9644e+06,1.6161e+04,3.9560e+05,3.9293e+05,69.0,30.0,0.1,0.9,7.5546e+29,7.3804e+29,9.7600e+27,7.6600e+27,7.7688e+27,0.0000e+00,97.7,1.3,1.0
115,7.6781e+29,5.3233e+29,2.2813e+29,4.0000e+26,6.9500e+27,4.9583e+29,3.6500e+28,1.6782e+29,6.0310e+28,2.2000e+26,1.8000e+26,3.7100e+27,3.2400e+27,2.1843e+29,1.1180e+28,6.7303e+08,1.9056e+06,7.0458e+08,1.3614e-12,1.8827e+06,1.2629e+04,3.9292e+05,3.9029e+05,69.3,29.7,0.1,0.9,7.6899e+29,7.5189e+29,9.4700e+27,7.6300e+27,7.6224e+27,0.0000e+00,97.8,1.2,1.0
116,7.8803e+29,5.4737e+29,2.3335e+29,3.7000e+26,6.9400e+27,5.1031e+29,3.7060e+28,1.7282e+29,6.0530e+28,1.8000e+26,1.9000e+26,3.5300e+27,3.4100e+27,2.2786e+29,1.2900e+28,6.6822e+08,1.6867e+06,7.5476e+08,4.6108e-10,2.0289e+06,1.3322e+04,3.9028e+05,3.8767e+05,69.5,29.6,0.0,0.9,7.8688e+29,7.7057e+29,9.2600e+27,7.0500e+27,7.5107e+27,0.0000e+00,97.9,1.2,0.9
117,7.9970e+29,5.5985e+29,2.3260e+29,2.8000e+26,6.9700e+27,5.2196e+29,3.7890e+28,1.7260e+29,6.0000e+28,2.0000e+26,8.0000e+25,3.5900e+27,3.3800e+27,2.4311e+29,1.3860e+28,6.6912e+08,1.3751e+06,1.1572e+09,1.9482e-10,2.1059e+06,1.6412e+04,3.8766e+05,3.8510e+05,70.0,29.1,0.0,0.9,7.9986e+29,7.8281e+29,9.6800e+27,7.3700e+27,7.3704e+27,0.0000e+00,97.9,1.2,0.9
118,8.1567e+29,5.7230e+29,2.3606e+29,2.8000e+26,7.0300e+27,5.3495e+29,3.7350e+28,1.7685e+29,5.9210e+28,1.5000e+26,1.3000e+26,3.5100e+27,3.5200e+27,2.5079e+29,1.2960e+28,6.6939e+08,9.7906e+05,7.3778e+08,1.9388e-12,2.0909e+06,1.2496e+04,3.8509e+05,3.8255e+05,70.2,28.9,0.0,0.9,8.1512e+29,7.9850e+29,9.4900e+27,7.1300e+27,7.2633e+27,0.0000e+00,98.0,1.2,0.9
119,8.2498e+29,5.8597e+29,2.3167e+29,3.8000e+26,6.9600e+27,5.4825e+29,3.7720e+28,1.7775e+29,5.3920e+28,2.6000e+26,1.2000e+26,3.4200e+27,3.5400e+27,2.2645e+29,9.8200e+27,6.7620e+08,4.3123e+05,9.5983e+08,3.4106e-16,2.1296e+06,1.4722e+04,3.8254e+05,3.8003e+05,71.0,28.1,0.0,0.8,8.2479e+29,8.0753e+29,9.9300e+27,7.3300e+27,7.1579e+27,0.0000e+00,97.9,1.2,0.9
120,8.3955e+29,5.9368e+29,2.3850e+29,3.1000e+26,7.0600e+27,5.5591e+29,3.7770e+28,1.8414e+29,5.4360e+28,2.0000e+26,1.1000e+26,3.5100e+27,3.5500e+27,2.1396e+29,7.9900e+27,6.7775e+08,7.8052e+02,7.9641e+08,1.0689e-20,2.2339e+06,1.0756e+04,3.8002e+05,3.7754e+05,70.7,28.4,0.0,0.8,8.3959e+29,8.2244e+29,1.0340e+28,6.8100e+27,7.0541e+27,0.0000e+00,98.0,1.2,0.8
121,8.5189e+29,6.0265e+29,2.4167e+29,4.8000e+26,7.0900e+27,5.6417e+29,3.8480e+28,1.8538e+29,5.6290e+28,2.8000e+26,2.0000e+26,3.4100e+27,3.6800e+27,2.1645e+29,8.6800e+27,6.7712e+08,1.6836e+06,8.0812e+08,6.7478e-19,2.3122e+06,1.1308e+04,3.7753e+05,3.7509e+05,70.7,28.4,0.1,0.8,8.5207e+29,8.3491e+29,1.0020e+28,7.1400e+27,6.9522e+27,0.0000e+00,98.0,1.2,0.8
122,8.7531e+29,6.1761e+29,2.5035e+29,3.3000e+26,7.0200e+27,5.7871e+29,3.8900e+28,1.9553e+29,5.4820e+28,2.8000e+26,5.0000e+25,3.7600e+27,3.2600e+27,2.2622e+29,1.0820e+28,6.7736e+08,1.7240e+06,7.7997e+08,2.5030e-12,2.3254e+06,1.1846e+04,3.7508e+05,3.7267e+05,70.6,28.6,0.0,0.8,8.7546e+29,8.5804e+29,1.0500e+28,6.9200e+27,6.8251e+27,0.0000e+00,98.0,1.2,0.8
123,8.9979e+29,6.3536e+29,2.5707e+29,3.4000e+26,7.0200e+27,5.9781e+29,3.7550e+28,2.0268e+29,5.4390e+28,2.4000e+26,1.0000e+26,3.5400e+27,3.4800e+27,2.3811e+29,1.2950e+28,6.7734e+08,1.5275e+06,7.8332e+08,6.5295e-10,2.3140e+06,1.2308e+04,3.7266e+05,3.7029e+05,70.6,28.6,0.0,0.8,8.9896e+29,8.8182e+29,1.0280e+28,6.8600e+27,6.7016e+27,0.0000e+00,98.1,1.1,0.8
