Line_ID,X_Value,Y_Value
0,594.91502,4.97590
0,595.83020,5.03378
0,596.74537,5.06272
0,597.66055,5.17848
0,598.57573,5.27977
0,599.49091,5.43895
0,600.40609,5.61259
0,601.32126,5.75729
0,602.23644,5.80070
0,603.15162,5.80070
0,604.06680,5.82965
0,604.98197,5.82965
0,605.89715,5.98882
0,606.81233,6.19140
0,607.72751,6.53869
0,608.64268,6.74127
0,609.55786,6.74127
0,610.47304,6.77021
0,611.38822,6.77021
0,612.30340,6.79915
0,613.21857,6.87151
0,614.13375,6.94386
0,615.04893,6.97280
0,615.96411,6.98727
0,616.87928,7.01621
0,617.79446,7.03068
0,618.70964,7.03068
0,619.62482,7.03068
0,620.53999,7.03068
0,621.45517,7.04515
0,622.37035,7.07409
0,623.28553,7.11750
0,624.20071,7.18985
0,625.11588,7.30561
0,626.03106,7.50820
0,626.94624,7.63843
0,627.86142,7.79760
0,628.77659,7.97125
0,629.69177,8.10148
0,630.60695,8.23171
0,631.52213,8.37642
0,632.43730,8.50665
0,633.35248,8.65135
0,634.26766,8.72370
0,635.18284,8.85393
0,636.09802,8.98417
0,637.01319,9.09993
0,637.92837,9.24463
0,638.84355,9.38934
0,639.75873,9.46169
0,640.67390,9.47616
0,641.58908,9.44722
0,642.50426,9.38934
0,643.41944,9.36039
0,644.33461,9.28804
0,645.24979,9.27357
0,646.16497,9.30251
0,647.08015,9.44722
0,647.99533,9.60639
0,648.91050,9.76556
0,649.82568,9.89580
0,650.74086,10.06944
0,651.65604,10.08391
0,652.57121,10.11285
0,653.48639,10.11285
0,654.40157,10.14179
0,655.31675,10.30096
0,656.23192,10.47461
0,657.14710,10.59037
0,658.06228,10.73507
0,658.97746,10.85083
0,659.89263,10.93766
0,660.80781,11.08236
0,661.72299,11.25600
0,662.63817,11.37176
0,663.55335,11.47306
0,664.46852,11.50200
0,665.38370,11.53094
0,666.29888,11.51647
0,667.21406,11.27047
0,668.12923,11.11130
0,669.04441,11.11130
0,669.95959,11.12577
0,670.87477,11.15471
0,671.78994,11.19812
0,672.70512,11.25600
0,673.62030,11.31388
0,674.53548,11.41518
0,675.45066,11.55988
0,676.36583,11.69011
0,677.28101,11.82034
0,678.19619,11.97952
0,679.11137,12.13869
0,680.02654,12.29786
0,680.94172,12.42809
0,681.85690,12.61621
0,682.77208,12.71750
0,683.68725,12.74644
0,684.60243,12.76091
0,685.51761,12.74644
0,686.43279,12.70303
0,687.34797,12.64515
0,688.26314,12.54386
0,689.17832,12.48598
0,690.09350,12.48598
0,691.00868,12.50045
0,691.92385,12.52939
0,692.83903,12.54386
0,693.75421,12.60174
0,694.66939,12.67409
0,695.58456,12.76091
0,696.49974,12.84773
0,697.41492,12.90561
0,698.33010,13.02138
0,699.24528,13.10820
0,700.16045,13.20949
0,701.07563,13.31078
0,701.99081,13.35419
0,702.90599,13.42654
0,703.82116,13.41207
0,704.73634,13.33972
0,705.65152,13.28184
