TAA,Side,Band_Index,EffCos_Lo,EffCos_Hi,U_1.400eV,U_1.544eV,U_1.689eV,U_1.833eV,U_1.978eV,U_2.122eV,U_2.267eV,U_2.411eV,U_2.556eV,U_2.700eV
338,Dusk,4,0.3500,0.5500,2.029573e+25,4.070805e+25,6.569754e+25,1.206499e+27,1.808475e+28,1.185940e+29,1.255235e+29,4.558957e+28,1.093925e+28,1.808186e+27
338,Dusk,5,0.5500,1.0100,6.355975e+25,1.185231e+26,2.946148e+26,2.824224e+26,9.250190e+26,6.903588e+27,3.203242e+28,3.511012e+28,1.289108e+28,2.231207e+27
339,Dawn,0,0.0000,0.0500,9.782265e+28,3.036676e+29,5.776353e+29,7.705289e+29,7.316396e+29,4.865339e+29,2.233382e+29,7.249113e+28,1.713918e+28,2.720374e+27
339,Dawn,1,0.0500,0.1000,6.076464e+27,9.917148e+28,2.932622e+29,4.122373e+29,3.983250e+29,2.637774e+29,1.223916e+29,3.950945e+28,9.821197e+27,1.545948e+27
339,Dawn,2,0.1000,0.2000,6.595244e+25,4.430034e+27,2.581929e+29,7.844154e+29,8.251354e+29,5.516625e+29,2.559884e+29,8.210523e+28,1.927210e+28,3.535428e+27
339,Dawn,3,0.2000,0.3500,4.171273e+22,1.371513e+26,3.475358e+27,1.347508e+29,6.634256e+29,6.433464e+29,3.031092e+29,9.771509e+28,2.259761e+28,3.719408e+27
339,Dawn,4,0.3500,0.5500,4.031911e+25,1.007641e+26,1.536064e+26,1.676506e+27,2.677898e+28,2.232055e+29,2.255966e+29,8.159015e+28,1.893488e+28,3.034610e+27
339,Dawn,5,0.5500,1.0100,8.365121e+25,2.187420e+26,2.049903e+26,3.577151e+26,8.547250e+26,7.381279e+27,3.702612e+28,4.404922e+28,1.587529e+28,2.816211e+27
339,Dusk,0,0.0000,0.0500,5.508456e+28,2.024580e+29,4.210088e+29,6.018666e+29,5.901877e+29,4.075716e+29,1.893358e+29,6.093428e+28,1.462336e+28,2.475557e+27
339,Dusk,1,0.0500,0.1000,5.365484e+26,2.673643e+28,1.446974e+29,2.464802e+29,2.558811e+29,1.756354e+29,8.021384e+28,2.578307e+28,5.867474e+27,9.091376e+26
339,Dusk,2,0.1000,0.2000,1.877766e+25,1.796408e+27,9.942997e+28,3.789100e+29,4.683312e+29,3.320838e+29,1.587533e+29,5.093120e+28,1.200914e+28,1.983305e+27
339,Dusk,3,0.2000,0.3500,1.003873e+25,5.501205e+25,1.589151e+27,5.285650e+28,2.949011e+29,3.267480e+29,1.614430e+29,5.287813e+28,1.205591e+28,2.073878e+27
339,Dusk,4,0.3500,0.5500,3.029805e+25,2.071362e+25,8.713450e+25,1.251060e+27,1.840363e+28,1.178193e+29,1.253267e+29,4.564020e+28,1.103495e+28,1.789479e+27
