TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
249,1.2652e+30,6.6361e+29,5.8010e+29,1.4491e+28,7.0010e+27,5.1989e+29,1.4372e+29,4.1789e+29,1.6220e+29,9.4780e+27,5.0130e+27,3.5510e+27,3.4500e+27,52.5,45.9,1.1,0.6,1.2653e+30,1.2390e+30,1.6703e+28,9.5920e+27,2.0852e+28,0.0000e+00,97.9,1.3,0.8
250,1.2452e+30,6.5405e+29,5.7015e+29,1.4003e+28,6.9670e+27,5.1501e+29,1.3904e+29,4.1187e+29,1.5828e+29,9.1110e+27,4.8920e+27,3.4420e+27,3.5250e+27,52.5,45.8,1.1,0.6,1.2453e+30,1.2188e+30,1.6660e+28,9.7670e+27,2.0981e+28,0.0000e+00,97.9,1.3,0.8
251,1.2299e+30,6.4629e+29,5.6330e+29,1.3344e+28,6.9850e+27,5.1130e+29,1.3499e+29,4.0854e+29,1.5475e+29,8.4910e+27,4.8530e+27,3.4930e+27,3.4920e+27,52.5,45.8,1.1,0.6,1.2302e+30,1.2042e+30,1.6081e+28,9.9230e+27,2.1204e+28,0.0000e+00,97.9,1.3,0.8
252,1.2057e+30,6.3332e+29,5.5286e+29,1.2593e+28,6.9320e+27,5.0320e+29,1.3012e+29,4.0371e+29,1.4914e+29,8.0870e+27,4.5060e+27,3.4570e+27,3.4750e+27,52.5,45.9,1.0,0.6,1.2058e+30,1.1802e+30,1.5752e+28,9.8540e+27,2.1238e+28,0.0000e+00,97.9,1.3,0.8
253,1.1979e+30,6.2793e+29,5.5059e+29,1.2358e+28,6.9840e+27,5.0149e+29,1.2644e+29,4.0252e+29,1.4808e+29,7.8890e+27,4.4690e+27,3.5000e+27,3.4840e+27,52.4,46.0,1.0,0.6,1.1983e+30,1.1726e+30,1.6017e+28,9.6110e+27,2.1558e+28,0.0000e+00,97.9,1.3,0.8
254,1.1732e+30,6.1504e+29,5.3903e+29,1.2221e+28,6.9450e+27,4.8978e+29,1.2526e+29,3.9036e+29,1.4867e+29,7.8290e+27,4.3920e+27,3.4280e+27,3.5170e+27,52.4,45.9,1.0,0.6,1.1731e+30,1.1477e+30,1.5719e+28,9.7150e+27,2.1590e+28,0.0000e+00,97.8,1.3,0.8
255,1.1618e+30,6.0791e+29,5.3416e+29,1.2737e+28,6.9470e+27,4.8122e+29,1.2669e+29,3.7718e+29,1.5698e+29,8.4740e+27,4.2630e+27,3.5940e+27,3.3530e+27,52.3,46.0,1.1,0.6,1.1618e+30,1.1358e+30,1.5744e+28,1.0278e+28,2.1816e+28,0.0000e+00,97.8,1.4,0.9
256,1.1479e+30,5.9978e+29,5.2894e+29,1.2258e+28,6.9340e+27,4.7605e+29,1.2373e+29,3.7459e+29,1.5435e+29,8.0970e+27,4.1610e+27,3.4650e+27,3.4690e+27,52.2,46.1,1.1,0.6,1.1482e+30,1.1222e+30,1.5697e+28,1.0306e+28,2.1944e+28,0.0000e+00,97.7,1.4,0.9
257,1.1337e+30,5.9244e+29,5.2269e+29,1.1601e+28,6.9480e+27,4.7221e+29,1.2023e+29,3.7179e+29,1.5090e+29,7.7230e+27,3.8780e+27,3.4600e+27,3.4880e+27,52.3,46.1,1.0,0.6,1.1339e+30,1.1086e+30,1.5159e+28,1.0138e+28,2.2172e+28,0.0000e+00,97.8,1.3,0.9
258,1.1146e+30,5.8383e+29,5.1268e+29,1.1190e+28,6.9400e+27,4.6713e+29,1.1670e+29,3.6584e+29,1.4684e+29,7.3170e+27,3.8730e+27,3.5240e+27,3.4160e+27,52.4,46.0,1.0,0.6,1.1149e+30,1.0899e+30,1.4975e+28,9.9950e+27,2.2298e+28,0.0000e+00,97.8,1.3,0.9
259,1.1039e+30,5.7768e+29,5.0844e+29,1.0810e+28,6.9570e+27,4.6354e+29,1.1414e+29,3.6249e+29,1.4595e+29,6.9980e+27,3.8120e+27,3.4630e+27,3.4940e+27,52.3,46.1,1.0,0.6,1.1041e+30,1.0788e+30,1.5228e+28,1.0075e+28,2.2528e+28,0.0000e+00,97.7,1.4,0.9
260,1.0841e+30,5.6713e+29,4.9965e+29,1.0352e+28,6.9370e+27,4.5682e+29,1.1031e+29,3.5824e+29,1.4142e+29,6.6870e+27,3.6650e+27,3.4380e+27,3.4990e+27,52.3,46.1,1.0,0.6,1.0840e+30,1.0592e+30,1.4825e+28,1.0012e+28,2.2653e+28,0.0000e+00,97.7,1.4,0.9
261,1.0688e+30,5.5839e+29,4.9367e+29,9.8000e+27,6.9090e+27,4.5100e+29,1.0739e+29,3.5362e+29,1.4005e+29,6.2210e+27,3.5790e+27,3.5030e+27,3.4060e+27,52.2,46.2,0.9,0.6,1.0689e+30,1.0440e+30,1.4816e+28,1.0049e+28,2.2774e+28,0.0000e+00,97.7,1.4,0.9
262,1.0578e+30,5.5070e+29,4.9054e+29,9.6350e+27,6.9420e+27,4.4606e+29,1.0464e+29,3.5222e+29,1.3832e+29,6.1440e+27,3.4910e+27,3.4800e+27,3.4620e+27,52.1,46.4,0.9,0.7,1.0583e+30,1.0336e+30,1.4523e+28,1.0137e+28,2.3004e+28,0.0000e+00,97.7,1.4,1.0
263,1.0473e+30,5.4389e+29,4.8726e+29,9.2240e+27,6.9560e+27,4.4220e+29,1.0168e+29,3.5015e+29,1.3711e+29,5.7430e+27,3.4810e+27,3.5450e+27,3.4110e+27,51.9,46.5,0.9,0.7,1.0475e+30,1.0229e+30,1.4588e+28,1.0043e+28,2.3236e+28,0.0000e+00,97.6,1.4,1.0
264,1.0331e+30,5.3386e+29,4.8255e+29,9.7650e+27,6.9320e+27,4.3037e+29,1.0349e+29,3.3681e+29,1.4574e+29,6.3820e+27,3.3830e+27,3.5010e+27,3.4310e+27,51.7,46.7,0.9,0.7,1.0331e+30,1.0083e+30,1.4527e+28,1.0253e+28,2.3355e+28,0.0000e+00,97.6,1.4,1.0
265,1.0186e+30,5.2623e+29,4.7593e+29,9.5460e+27,6.9100e+27,4.2368e+29,1.0255e+29,3.2871e+29,1.4722e+29,6.3390e+27,3.2070e+27,3.4900e+27,3.4200e+27,51.7,46.7,0.9,0.7,1.0185e+30,9.9372e+29,1.4271e+28,1.0497e+28,2.3471e+28,0.0000e+00,97.6,1.4,1.0
266,1.0101e+30,5.2088e+29,4.7301e+29,9.2970e+27,6.9250e+27,4.2022e+29,1.0066e+29,3.2564e+29,1.4737e+29,6.1250e+27,3.1720e+27,3.4750e+27,3.4500e+27,51.6,46.8,0.9,0.7,1.0103e+30,9.8554e+29,1.4405e+28,1.0341e+28,2.3700e+28,0.0000e+00,97.6,1.4,1.0
267,9.9731e+29,5.1468e+29,4.6692e+29,8.7610e+27,6.9440e+27,4.1578e+29,9.8907e+28,3.2192e+29,1.4499e+29,5.8010e+27,2.9600e+27,3.5120e+27,3.4320e+27,51.6,46.8,0.9,0.7,9.9743e+29,9.7279e+29,1.4264e+28,1.0377e+28,2.3930e+28,0.0000e+00,97.5,1.4,1.0
268,9.8263e+29,5.0773e+29,4.5928e+29,8.6900e+27,6.9200e+27,4.1152e+29,9.6219e+28,3.1584e+29,1.4344e+29,5.5850e+27,3.1050e+27,3.4910e+27,3.4290e+27,51.7,46.7,0.9,0.7,9.8318e+29,9.5871e+29,1.3975e+28,1.0496e+28,2.4041e+28,0.0000e+00,97.5,1.4,1.1
269,9.6583e+29,4.9843e+29,4.5240e+29,8.0990e+27,6.8940e+27,4.0443e+29,9.4000e+28,3.1137e+29,1.4103e+29,5.1580e+27,2.9410e+27,3.4600e+27,3.4340e+27,51.6,46.8,0.8,0.7,9.6554e+29,9.4115e+29,1.4062e+28,1.0333e+28,2.4147e+28,0.0000e+00,97.5,1.5,1.1
270,9.5742e+29,4.9250e+29,4.5007e+29,7.9460e+27,6.9050e+27,4.0082e+29,9.1683e+28,3.1027e+29,1.3979e+29,5.1210e+27,2.8250e+27,3.4060e+27,3.4990e+27,51.4,47.0,0.8,0.7,9.5768e+29,9.3349e+29,1.3843e+28,1.0340e+28,2.4373e+28,0.0000e+00,97.5,1.4,1.1
