TAA_Bin,Band_Index,EffCos_Lo,EffCos_Hi,Gen_PSD_Dawn,Gen_TD_Dawn,Gen_PSD_Dusk,Gen_TD_Dusk,Stock_Dawn,Stock_Dusk,Step_Count
9,5,0.5500,1.0100,1.2905e+29,0.0000e+00,1.1970e+29,0.0000e+00,5.3079e+31,4.8132e+31,137
10,0,0.0000,0.0500,2.4550e+28,0.0000e+00,5.8000e+27,0.0000e+00,3.2579e+32,6.9098e+31,137
10,1,0.0500,0.1000,1.5090e+28,0.0000e+00,3.2200e+27,0.0000e+00,6.1283e+31,1.6347e+31,137
10,2,0.1000,0.2000,3.2610e+28,0.0000e+00,9.9000e+27,0.0000e+00,7.4783e+31,2.3627e+31,137
10,3,0.2000,0.3500,3.6460e+28,0.0000e+00,1.7430e+28,0.0000e+00,4.4509e+31,2.1450e+31,137
10,4,0.3500,0.5500,4.6130e+28,0.0000e+00,3.2780e+28,0.0000e+00,3.3301e+31,2.2327e+31,137
10,5,0.5500,1.0100,1.3194e+29,0.0000e+00,1.1912e+29,0.0000e+00,5.3393e+31,4.8537e+31,137
11,0,0.0000,0.0500,2.3920e+28,0.0000e+00,5.2400e+27,0.0000e+00,3.2447e+32,6.7816e+31,137
11,1,0.0500,0.1000,1.4260e+28,0.0000e+00,4.1600e+27,0.0000e+00,6.0565e+31,1.7346e+31,137
11,2,0.1000,0.2000,3.1980e+28,0.0000e+00,1.0250e+28,0.0000e+00,7.3925e+31,2.3599e+31,137
11,3,0.2000,0.3500,3.6760e+28,0.0000e+00,1.8600e+28,0.0000e+00,4.4260e+31,2.1504e+31,137
11,4,0.3500,0.5500,4.6750e+28,0.0000e+00,3.2200e+28,0.0000e+00,3.3507e+31,2.2510e+31,137
11,5,0.5500,1.0100,1.3353e+29,0.0000e+00,1.2039e+29,0.0000e+00,5.3870e+31,4.8824e+31,137
12,0,0.0000,0.0500,2.3680e+28,0.0000e+00,5.4800e+27,0.0000e+00,3.2320e+32,6.7391e+31,137
12,1,0.0500,0.1000,1.5200e+28,0.0000e+00,3.9700e+27,0.0000e+00,5.9875e+31,1.7459e+31,137
12,2,0.1000,0.2000,3.1760e+28,0.0000e+00,9.9900e+27,0.0000e+00,7.3158e+31,2.3534e+31,137
12,3,0.2000,0.3500,3.5520e+28,0.0000e+00,1.8490e+28,0.0000e+00,4.4022e+31,2.1614e+31,137
12,4,0.3500,0.5500,4.8430e+28,0.0000e+00,3.3630e+28,0.0000e+00,3.3688e+31,2.2772e+31,137
12,5,0.5500,1.0100,1.3311e+29,0.0000e+00,1.2073e+29,0.0000e+00,5.4255e+31,4.8968e+31,137
13,0,0.0000,0.0500,2.2820e+28,0.0000e+00,5.2200e+27,0.0000e+00,3.2206e+32,6.7124e+31,137
13,1,0.0500,0.1000,1.4060e+28,0.0000e+00,3.8800e+27,0.0000e+00,5.9156e+31,1.7439e+31,137
13,2,0.1000,0.2000,3.0840e+28,0.0000e+00,1.0360e+28,0.0000e+00,7.2381e+31,2.3498e+31,137
13,3,0.2000,0.3500,3.5970e+28,0.0000e+00,1.8160e+28,0.0000e+00,4.3764e+31,2.1698e+31,137
13,4,0.3500,0.5500,4.6190e+28,0.0000e+00,3.2340e+28,0.0000e+00,3.3699e+31,2.2881e+31,137
13,5,0.5500,1.0100,1.3286e+29,0.0000e+00,1.2655e+29,0.0000e+00,5.4575e+31,4.9587e+31,137
14,0,0.0000,0.0500,2.3260e+28,0.0000e+00,5.1100e+27,0.0000e+00,3.2325e+32,6.6131e+31,138
14,1,0.0500,0.1000,1.4880e+28,0.0000e+00,3.9600e+27,0.0000e+00,5.8837e+31,1.8756e+31,138
14,2,0.1000,0.2000,3.0350e+28,0.0000e+00,1.0250e+28,0.0000e+00,7.2131e+31,2.3625e+31,138
14,3,0.2000,0.3500,3.5530e+28,0.0000e+00,1.8660e+28,0.0000e+00,4.3828e+31,2.1939e+31,138
14,4,0.3500,0.5500,4.6510e+28,0.0000e+00,3.2500e+28,0.0000e+00,3.4025e+31,2.3108e+31,138
14,5,0.5500,1.0100,1.3589e+29,0.0000e+00,1.2348e+29,0.0000e+00,5.5384e+31,5.0354e+31,138
15,0,0.0000,0.0500,2.3190e+28,0.0000e+00,5.1500e+27,0.0000e+00,3.2207e+32,6.5951e+31,138
15,1,0.0500,0.1000,1.4320e+28,0.0000e+00,4.0200e+27,0.0000e+00,5.8144e+31,1.8704e+31,138
15,2,0.1000,0.2000,3.1520e+28,0.0000e+00,1.0080e+28,0.0000e+00,7.1403e+31,2.3122e+31,138
15,3,0.2000,0.3500,3.5670e+28,0.0000e+00,1.8900e+28,0.0000e+00,4.3669e+31,2.2471e+31,138
15,4,0.3500,0.5500,4.6310e+28,0.0000e+00,3.3370e+28,0.0000e+00,3.4018e+31,2.3219e+31,138
15,5,0.5500,1.0100,1.3407e+29,0.0000e+00,1.2794e+29,0.0000e+00,5.5660e+31,5.0804e+31,138
16,0,0.0000,0.0500,2.2470e+28,0.0000e+00,5.4400e+27,0.0000e+00,3.2093e+32,6.5785e+31,138
16,1,0.0500,0.1000,1.3430e+28,0.0000e+00,4.1300e+27,0.0000e+00,5.7440e+31,1.8681e+31,138
16,2,0.1000,0.2000,3.1360e+28,0.0000e+00,1.0120e+28,0.0000e+00,7.0693e+31,2.3008e+31,138
16,3,0.2000,0.3500,3.4930e+28,0.0000e+00,1.8870e+28,0.0000e+00,4.3426e+31,2.2673e+31,138
16,4,0.3500,0.5500,4.6230e+28,0.0000e+00,3.2830e+28,0.0000e+00,3.4005e+31,2.3344e+31,138
16,5,0.5500,1.0100,1.3713e+29,0.0000e+00,1.2817e+29,0.0000e+00,5.5829e+31,5.1350e+31,138
17,0,0.0000,0.0500,2.2920e+28,0.0000e+00,5.4900e+27,0.0000e+00,3.1977e+32,6.5628e+31,138
17,1,0.0500,0.1000,1.3450e+28,0.0000e+00,4.0200e+27,0.0000e+00,5.6803e+31,1.8640e+31,138
17,2,0.1000,0.2000,3.0450e+28,0.0000e+00,1.0330e+28,0.0000e+00,7.0037e+31,2.3016e+31,138
17,3,0.2000,0.3500,3.5450e+28,0.0000e+00,1.8980e+28,0.0000e+00,4.3191e+31,2.2801e+31,138
17,4,0.3500,0.5500,4.5450e+28,0.0000e+00,3.3520e+28,0.0000e+00,3.3976e+31,2.3526e+31,138
17,5,0.5500,1.0100,1.3613e+29,0.0000e+00,1.2700e+29,0.0000e+00,5.6259e+31,5.1606e+31,138
18,0,0.0000,0.0500,2.1690e+28,0.0000e+00,4.8900e+27,0.0000e+00,3.2092e+32,6.5951e+31,139
18,1,0.0500,0.1000,1.3980e+28,0.0000e+00,4.0200e+27,0.0000e+00,5.6556e+31,1.8702e+31,139
18,2,0.1000,0.2000,2.9550e+28,0.0000e+00,9.9600e+27,0.0000e+00,6.9884e+31,2.3194e+31,139
18,3,0.2000,0.3500,3.5300e+28,0.0000e+00,1.9660e+28,0.0000e+00,4.3285e+31,2.3057e+31,139
18,4,0.3500,0.5500,4.7440e+28,0.0000e+00,3.2920e+28,0.0000e+00,3.4231e+31,2.3739e+31,139
18,5,0.5500,1.0100,1.3728e+29,0.0000e+00,1.2774e+29,0.0000e+00,5.6753e+31,5.2183e+31,139
19,0,0.0000,0.0500,2.2220e+28,0.0000e+00,5.1600e+27,0.0000e+00,3.1975e+32,6.4600e+31,139
19,1,0.0500,0.1000,1.2640e+28,0.0000e+00,4.3500e+27,0.0000e+00,5.5875e+31,1.9784e+31,139
19,2,0.1000,0.2000,2.9810e+28,0.0000e+00,9.6800e+27,0.0000e+00,6.9167e+31,2.3117e+31,139
