TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
161,8.2565e+29,2.4542e+29,5.6837e+29,4.8050e+27,7.0480e+27,2.2742e+29,1.8002e+28,4.7312e+29,9.5248e+28,3.7930e+27,1.0120e+27,3.5470e+27,3.5010e+27,1.1039e+08,1.8852e+01,3.1208e+08,1.0143e-20,1.9184e+07,3.1968e+04,3.0969e+05,3.0886e+05,29.7,68.8,0.6,0.9,8.2508e+29,8.1533e+29,8.6420e+27,1.1080e+27,0.0000e+00,0.0000e+00,98.8,1.0,0.1
162,8.5483e+29,2.5003e+29,5.9260e+29,5.1200e+27,7.0880e+27,2.3043e+29,1.9597e+28,4.8887e+29,1.0373e+29,3.9850e+27,1.1350e+27,3.5110e+27,3.5770e+27,1.1084e+08,2.6282e+05,3.2296e+08,1.0046e-20,1.8638e+07,3.5866e+04,3.0886e+05,3.0807e+05,29.2,69.3,0.6,0.8,8.5470e+29,8.4463e+29,8.9600e+27,1.1040e+27,0.0000e+00,0.0000e+00,98.8,1.0,0.1
163,8.7705e+29,2.5289e+29,6.1206e+29,5.0400e+27,7.0660e+27,2.3278e+29,2.0109e+28,5.0690e+29,1.0516e+29,3.9570e+27,1.0830e+27,3.4730e+27,3.5930e+27,1.1023e+08,1.7450e+05,3.2922e+08,1.0023e-20,1.7905e+07,3.5668e+04,3.0807e+05,3.0733e+05,28.8,69.8,0.6,0.8,8.7665e+29,8.6652e+29,9.0830e+27,1.0510e+27,0.0000e+00,0.0000e+00,98.8,1.0,0.1
164,9.0163e+29,2.5546e+29,6.3425e+29,4.8700e+27,7.0510e+27,2.3476e+29,2.0699e+28,5.2847e+29,1.0578e+29,3.7650e+27,1.1050e+27,3.5870e+27,3.4640e+27,1.0963e+08,7.4509e+04,3.2597e+08,1.0100e-20,1.7061e+07,4.5179e+04,3.0732e+05,3.0663e+05,28.3,70.3,0.5,0.8,9.0132e+29,8.9095e+29,9.3680e+27,1.0090e+27,0.0000e+00,0.0000e+00,98.8,1.0,0.1
165,9.2916e+29,2.5921e+29,6.5766e+29,5.2090e+27,7.0840e+27,2.3746e+29,2.1752e+28,5.4402e+29,1.1364e+29,4.0120e+27,1.1970e+27,3.5580e+27,3.5260e+27,1.0864e+08,2.8922e+02,3.3873e+08,1.0043e-20,1.9006e+07,4.8157e+04,3.0663e+05,3.0598e+05,27.9,70.8,0.6,0.8,9.2870e+29,9.1817e+29,9.5320e+27,1.0000e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
166,9.4878e+29,2.6172e+29,6.7408e+29,5.9050e+27,7.0740e+27,2.3764e+29,2.4079e+28,5.4419e+29,1.2989e+29,4.6110e+27,1.2940e+27,3.5310e+27,3.5430e+27,1.0863e+08,2.9244e+05,3.4235e+08,1.0057e-20,1.8720e+07,4.9766e+04,3.0597e+05,3.0537e+05,27.6,71.0,0.6,0.7,9.4862e+29,9.3780e+29,9.7780e+27,1.0410e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
167,9.6945e+29,2.6452e+29,6.9211e+29,5.7510e+27,7.0770e+27,2.4022e+29,2.4298e+28,5.6413e+29,1.2798e+29,4.4480e+27,1.3030e+27,3.5240e+27,3.5530e+27,1.0967e+08,2.0607e+05,3.5853e+08,1.0068e-20,1.7892e+07,5.5227e+04,3.0537e+05,3.0481e+05,27.3,71.4,0.6,0.7,9.6921e+29,9.5822e+29,9.9440e+27,1.0420e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
168,9.9115e+29,2.6725e+29,7.1110e+29,5.7290e+27,7.0690e+27,2.4241e+29,2.4842e+28,5.8419e+29,1.2691e+29,4.4220e+27,1.3070e+27,3.5680e+27,3.5010e+27,1.1081e+08,9.8772e+04,3.5075e+08,7.2850e-20,1.7229e+07,5.4002e+04,3.0480e+05,3.0429e+05,27.0,71.7,0.6,0.7,9.9060e+29,9.7942e+29,1.0198e+28,9.8400e+26,0.0000e+00,0.0000e+00,98.9,1.0,0.1
169,1.0130e+30,2.6977e+29,7.3042e+29,5.7580e+27,7.0810e+27,2.4391e+29,2.5863e+28,6.0024e+29,1.3018e+29,4.4060e+27,1.3520e+27,3.5220e+27,3.5590e+27,1.1101e+08,1.7912e+02,3.6038e+08,1.0067e-20,1.9601e+07,5.7127e+04,3.0428e+05,3.0381e+05,26.6,72.1,0.6,0.7,1.0129e+30,1.0016e+30,1.0268e+28,1.0450e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
170,1.0296e+30,2.7175e+29,7.4425e+29,6.5490e+27,7.0440e+27,2.4298e+29,2.8764e+28,5.9116e+29,1.5309e+29,5.0580e+27,1.4910e+27,3.5920e+27,3.4520e+27,1.0910e+08,1.9648e+05,3.7216e+08,1.0056e-20,1.9438e+07,6.3226e+04,3.0381e+05,3.0338e+05,26.4,72.3,0.6,0.7,1.0294e+30,1.0178e+30,1.0514e+28,1.0600e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
171,1.0465e+30,2.7422e+29,7.5863e+29,6.5250e+27,7.0790e+27,2.4522e+29,2.8998e+28,6.0795e+29,1.5068e+29,5.0330e+27,1.4920e+27,3.4950e+27,3.5840e+27,1.0903e+08,2.3557e+05,3.7123e+08,1.0085e-20,1.8619e+07,6.4717e+04,3.0338e+05,3.0300e+05,26.2,72.5,0.6,0.7,1.0463e+30,1.0346e+30,1.0614e+28,1.0700e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
172,1.0595e+30,2.7618e+29,7.7004e+29,6.2530e+27,7.0720e+27,2.4699e+29,2.9191e+28,6.2397e+29,1.4607e+29,4.8060e+27,1.4470e+27,3.5300e+27,3.5420e+27,1.0937e+08,1.2123e+05,3.7533e+08,1.0403e-19,1.7909e+07,7.0166e+04,3.0300e+05,3.0266e+05,26.1,72.7,0.6,0.7,1.0593e+30,1.0473e+30,1.0978e+28,1.0190e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
173,1.0736e+30,2.7908e+29,7.8118e+29,6.2850e+27,7.0800e+27,2.4896e+29,3.0122e+28,6.3789e+29,1.4329e+29,4.6750e+27,1.6100e+27,3.5320e+27,3.5480e+27,1.0955e+08,6.3268e+01,3.7982e+08,1.0004e-20,1.9646e+07,7.0801e+04,3.0266e+05,3.0237e+05,26.0,72.8,0.6,0.7,1.0733e+30,1.0613e+30,1.0936e+28,1.0220e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
174,1.0898e+30,2.8036e+29,7.9498e+29,7.4020e+27,7.0770e+27,2.4682e+29,3.3540e+28,6.2308e+29,1.7191e+29,5.7070e+27,1.6950e+27,3.6140e+27,3.4630e+27,1.0922e+08,5.3014e+04,3.8570e+08,1.0119e-20,1.9619e+07,7.6508e+04,3.0237e+05,3.0212e+05,25.7,72.9,0.7,0.6,1.0897e+30,1.0774e+30,1.1173e+28,1.1660e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
175,1.1043e+30,2.8169e+29,8.0830e+29,7.1770e+27,7.0840e+27,2.4792e+29,3.3770e+28,6.4012e+29,1.6818e+29,5.4370e+27,1.7400e+27,3.5320e+27,3.5520e+27,1.0789e+08,2.9001e+05,3.8780e+08,1.0010e-20,1.8768e+07,8.0880e+04,3.0212e+05,3.0192e+05,25.5,73.2,0.6,0.6,1.1041e+30,1.0916e+30,1.1366e+28,1.1430e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
176,1.1174e+30,2.8329e+29,8.2012e+29,6.9300e+27,7.0580e+27,2.4934e+29,3.3944e+28,6.5524e+29,1.6487e+29,5.1690e+27,1.7610e+27,3.6020e+27,3.4560e+27,1.0684e+08,1.5491e+05,3.8884e+08,1.0028e-20,1.7993e+07,8.4751e+04,3.0192e+05,3.0176e+05,25.4,73.4,0.6,0.6,1.1172e+30,1.1048e+30,1.1318e+28,1.0820e+27,0.0000e+00,0.0000e+00,98.9,1.0,0.1
