TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
298,7.2702e+29,3.0295e+29,4.1371e+29,3.4750e+27,6.8800e+27,2.4482e+29,5.8133e+28,2.4753e+29,1.6619e+29,2.2140e+27,1.2610e+27,3.3430e+27,3.5370e+27,3.7335e+08,3.8693e+06,2.6635e+08,1.9007e-15,5.1093e+07,2.2878e+05,5.5945e+05,5.5641e+05,41.7,56.9,0.5,0.9,7.2671e+29,7.0594e+29,1.2515e+28,8.2580e+27,2.9349e+28,0.0000e+00,97.1,1.7,1.1
299,7.1557e+29,2.9684e+29,4.0852e+29,3.3700e+27,6.8430e+27,2.3969e+29,5.7154e+28,2.4406e+29,1.6446e+29,2.0890e+27,1.2810e+27,3.4620e+27,3.3810e+27,3.7334e+08,3.7642e+06,3.0292e+08,1.3067e-13,4.9306e+07,2.2777e+05,5.6247e+05,5.5947e+05,41.5,57.1,0.5,1.0,7.1584e+29,6.9545e+29,1.2231e+28,8.1630e+27,2.9318e+28,0.0000e+00,97.2,1.7,1.1
300,7.1079e+29,2.9275e+29,4.0801e+29,3.2040e+27,6.8380e+27,2.3612e+29,5.6624e+28,2.4165e+29,1.6635e+29,1.9670e+27,1.2370e+27,3.4700e+27,3.3680e+27,3.7279e+08,3.7179e+06,2.8522e+08,2.3895e-12,4.7310e+07,2.1615e+05,5.6547e+05,5.6249e+05,41.2,57.4,0.5,1.0,7.1085e+29,6.9068e+29,1.2083e+28,8.0910e+27,2.9459e+28,0.0000e+00,97.2,1.7,1.1
301,7.0753e+29,2.8944e+29,4.0805e+29,3.2230e+27,6.8180e+27,2.3332e+29,5.6114e+28,2.4082e+29,1.6723e+29,1.9560e+27,1.2670e+27,3.4080e+27,3.4100e+27,3.7270e+08,3.7591e+06,2.8195e+08,2.1529e-11,4.5427e+07,2.0496e+05,5.6844e+05,5.6549e+05,40.9,57.7,0.5,1.0,7.0731e+29,6.8720e+29,1.2167e+28,7.9450e+27,2.9594e+28,0.0000e+00,97.2,1.7,1.1
302,7.0835e+29,2.8847e+29,4.0985e+29,3.1590e+27,6.8690e+27,2.3168e+29,5.6789e+28,2.4144e+29,1.6841e+29,1.8860e+27,1.2730e+27,3.4050e+27,3.4640e+27,3.7204e+08,3.7917e+06,2.8805e+08,1.2528e-10,4.3836e+07,2.0529e+05,5.7140e+05,5.6845e+05,40.7,57.9,0.4,1.0,7.0830e+29,6.8820e+29,1.2270e+28,7.8260e+27,2.9912e+28,0.0000e+00,97.2,1.7,1.1
303,6.9818e+29,2.8187e+29,4.0639e+29,3.1040e+27,6.8130e+27,2.2645e+29,5.5422e+28,2.3938e+29,1.6701e+29,1.9060e+27,1.1980e+27,3.4290e+27,3.3840e+27,3.7135e+08,3.6602e+06,3.0673e+08,5.4369e-10,4.2127e+07,2.0924e+05,5.7431e+05,5.7142e+05,40.4,58.2,0.4,1.0,6.9846e+29,6.7876e+29,1.2131e+28,7.5620e+27,2.9852e+28,0.0000e+00,97.2,1.7,1.1
304,6.9710e+29,2.8021e+29,4.0706e+29,2.9880e+27,6.8440e+27,2.2494e+29,5.5268e+28,2.4001e+29,1.6705e+29,1.7810e+27,1.2070e+27,3.4030e+27,3.4410e+27,3.7055e+08,2.9755e+06,2.8981e+08,1.8784e-09,4.0764e+07,2.0604e+05,5.7722e+05,5.7433e+05,40.2,58.4,0.4,1.0,6.9699e+29,6.7733e+29,1.2292e+28,7.3670e+27,3.0162e+28,0.0000e+00,97.2,1.8,1.1
305,6.9056e+29,2.7689e+29,4.0389e+29,2.9330e+27,6.8440e+27,2.2185e+29,5.5043e+28,2.3621e+29,1.6768e+29,1.7100e+27,1.2230e+27,3.4810e+27,3.3630e+27,3.6954e+08,3.3618e+06,3.5785e+08,5.5132e-09,3.9394e+07,1.9430e+05,5.8009e+05,5.7724e+05,40.1,58.5,0.4,1.0,6.9064e+29,6.7069e+29,1.2468e+28,7.4760e+27,3.0279e+28,0.0000e+00,97.1,1.8,1.1
306,6.8408e+29,2.7307e+29,4.0132e+29,2.8570e+27,6.8300e+27,2.1800e+29,5.5075e+28,2.3281e+29,1.6851e+29,1.6700e+27,1.1870e+27,3.4360e+27,3.3940e+27,3.6875e+08,3.5294e+06,3.1460e+08,1.4035e-08,3.7918e+07,2.0445e+05,5.8293e+05,5.8011e+05,39.9,58.7,0.4,1.0,6.8393e+29,6.6462e+29,1.2168e+28,7.1410e+27,3.0390e+28,0.0000e+00,97.2,1.8,1.0
307,6.8063e+29,2.6957e+29,4.0133e+29,2.9070e+27,6.8230e+27,2.1492e+29,5.4645e+28,2.3296e+29,1.6837e+29,1.6990e+27,1.2080e+27,3.4000e+27,3.4230e+27,3.6759e+08,3.7178e+06,2.9488e+08,3.2076e-08,3.6735e+07,1.9305e+05,5.8573e+05,5.8294e+05,39.6,59.0,0.4,1.0,6.8078e+29,6.6160e+29,1.2330e+28,6.8570e+27,3.0496e+28,0.0000e+00,97.2,1.8,1.0
308,6.7998e+29,2.6744e+29,4.0301e+29,2.6810e+27,6.8530e+27,2.1327e+29,5.4169e+28,2.3402e+29,1.6899e+29,1.5530e+27,1.1280e+27,3.4370e+27,3.4160e+27,3.6582e+08,3.4484e+06,2.8543e+08,6.6835e-08,3.5584e+07,1.9023e+05,5.8852e+05,5.8575e+05,39.3,59.3,0.4,1.0,6.8001e+29,6.6096e+29,1.2286e+28,6.7640e+27,3.0793e+28,0.0000e+00,97.2,1.8,1.0
309,6.7579e+29,2.6396e+29,4.0220e+29,2.7960e+27,6.8360e+27,2.0979e+29,5.4172e+28,2.3250e+29,1.6970e+29,1.5980e+27,1.1980e+27,3.5200e+27,3.3160e+27,3.6404e+08,2.9930e+06,3.3522e+08,1.2931e-07,3.4577e+07,1.8820e+05,5.9127e+05,5.8854e+05,39.1,59.5,0.4,1.0,6.7557e+29,6.5686e+29,1.2210e+28,6.4980e+27,3.0889e+28,0.0000e+00,97.2,1.8,1.0
310,6.7135e+29,2.6000e+29,4.0180e+29,2.7140e+27,6.8280e+27,2.0615e+29,5.3855e+28,2.2964e+29,1.7216e+29,1.5470e+27,1.1670e+27,3.4030e+27,3.4250e+27,3.6332e+08,2.9644e+06,3.2295e+08,2.3421e-07,3.3516e+07,1.8136e+05,5.9398e+05,5.9128e+05,38.7,59.9,0.4,1.0,6.7157e+29,6.5279e+29,1.2437e+28,6.3450e+27,3.0979e+28,0.0000e+00,97.2,1.9,0.9
311,6.6723e+29,2.5652e+29,4.0120e+29,2.6850e+27,6.8180e+27,2.0317e+29,5.3352e+28,2.3007e+29,1.7113e+29,1.5090e+27,1.1760e+27,3.4120e+27,3.4060e+27,3.6203e+08,2.9843e+06,3.0811e+08,4.0135e-07,3.2586e+07,1.8961e+05,5.9665e+05,5.9400e+05,38.4,60.1,0.4,1.0,6.6744e+29,6.4933e+29,1.2218e+28,5.8910e+27,3.1062e+28,0.0000e+00,97.3,1.8,0.9
