TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
212,7.5527e+29,2.5556e+29,4.8544e+29,7.2310e+27,7.0470e+27,2.1151e+29,4.4049e+28,4.0562e+29,7.9819e+28,5.0510e+27,2.1800e+27,3.4930e+27,3.5540e+27,33.8,64.3,1.0,0.9,7.5540e+29,7.4583e+29,7.7950e+27,1.7750e+27,0.0000e+00,0.0000e+00,98.7,1.0,0.2
213,7.3121e+29,2.5254e+29,4.6449e+29,7.1410e+27,7.0300e+27,2.0978e+29,4.2764e+28,3.9035e+29,7.4144e+28,4.9010e+27,2.2400e+27,3.5300e+27,3.5000e+27,34.5,63.5,1.0,1.0,7.3161e+29,7.2223e+29,7.5750e+27,1.7990e+27,0.0000e+00,0.0000e+00,98.7,1.0,0.2
214,7.1054e+29,2.5028e+29,4.4640e+29,6.8250e+27,7.0400e+27,2.0895e+29,4.1331e+28,3.7984e+29,6.6560e+28,4.6810e+27,2.1440e+27,3.5220e+27,3.5180e+27,35.2,62.8,1.0,1.0,7.1077e+29,7.0165e+29,7.3140e+27,1.8080e+27,0.0000e+00,0.0000e+00,98.7,1.0,0.3
215,6.9047e+29,2.4747e+29,4.2938e+29,6.5740e+27,7.0380e+27,2.0755e+29,3.9922e+28,3.6941e+29,5.9974e+28,4.4480e+27,2.1260e+27,3.4980e+27,3.5400e+27,35.8,62.2,1.0,1.0,6.9079e+29,6.8172e+29,7.2060e+27,1.8590e+27,0.0000e+00,0.0000e+00,98.7,1.0,0.3
216,6.7391e+29,2.4415e+29,4.1666e+29,6.0690e+27,7.0330e+27,2.0577e+29,3.8377e+28,3.6051e+29,5.6144e+28,4.0620e+27,2.0070e+27,3.5250e+27,3.5080e+27,36.2,61.8,0.9,1.0,6.7410e+29,6.6529e+29,6.9720e+27,1.8330e+27,0.0000e+00,0.0000e+00,98.7,1.0,0.3
217,6.5709e+29,2.4206e+29,4.0120e+29,6.7900e+27,7.0380e+27,2.0215e+29,3.9908e+28,3.4175e+29,5.9454e+28,4.7000e+27,2.0900e+27,3.4520e+27,3.5860e+27,36.8,61.1,1.0,1.1,6.5731e+29,6.4856e+29,6.7740e+27,1.9730e+27,0.0000e+00,0.0000e+00,98.7,1.0,0.3
218,6.3984e+29,2.3978e+29,3.8654e+29,6.4830e+27,7.0330e+27,2.0119e+29,3.8588e+28,3.3329e+29,5.3253e+28,4.4650e+27,2.0180e+27,3.4640e+27,3.5690e+27,37.5,60.4,1.0,1.1,6.4012e+29,6.3160e+29,6.5500e+27,1.9690e+27,0.0000e+00,0.0000e+00,98.7,1.0,0.3
219,6.2439e+29,2.3619e+29,3.7514e+29,6.0330e+27,7.0290e+27,1.9935e+29,3.6841e+28,3.2546e+29,4.9683e+28,4.1580e+27,1.8750e+27,3.4740e+27,3.5550e+27,37.8,60.1,1.0,1.1,6.2457e+29,6.1622e+29,6.4030e+27,1.9540e+27,0.0000e+00,0.0000e+00,98.7,1.0,0.3
220,6.0929e+29,2.3360e+29,3.6282e+29,5.8460e+27,7.0290e+27,1.9830e+29,3.5301e+28,3.1779e+29,4.5026e+28,3.9240e+27,1.9220e+27,3.5350e+27,3.4940e+27,38.3,59.5,1.0,1.2,6.0941e+29,6.0105e+29,6.2980e+27,2.0620e+27,0.0000e+00,0.0000e+00,98.6,1.0,0.3
221,5.9897e+29,2.3168e+29,3.5471e+29,5.5550e+27,7.0360e+27,1.9736e+29,3.4316e+28,3.1155e+29,4.3151e+28,3.6640e+27,1.8910e+27,3.4990e+27,3.5370e+27,38.7,59.2,0.9,1.2,5.9909e+29,5.9073e+29,6.3370e+27,2.0260e+27,0.0000e+00,0.0000e+00,98.6,1.1,0.3
222,5.8621e+29,2.2880e+29,3.4420e+29,6.1680e+27,7.0400e+27,1.9311e+29,3.5693e+28,2.9675e+29,4.7456e+28,4.3150e+27,1.8530e+27,3.4600e+27,3.5800e+27,39.0,58.7,1.1,1.2,5.8631e+29,5.7775e+29,6.2360e+27,2.3200e+27,0.0000e+00,0.0000e+00,98.5,1.1,0.4
223,5.7154e+29,2.2511e+29,3.3352e+29,5.8960e+27,7.0150e+27,1.9142e+29,3.3688e+28,2.9100e+29,4.2515e+28,4.0080e+27,1.8880e+27,3.5060e+27,3.5090e+27,39.4,58.4,1.0,1.2,5.7178e+29,5.6348e+29,6.0470e+27,2.2580e+27,0.0000e+00,0.0000e+00,98.5,1.1,0.4
224,5.5992e+29,2.2335e+29,3.2397e+29,5.5610e+27,7.0380e+27,1.9058e+29,3.2766e+28,2.8447e+29,3.9502e+28,3.8000e+27,1.7610e+27,3.5640e+27,3.4740e+27,39.9,57.9,1.0,1.3,5.6015e+29,5.5182e+29,5.9980e+27,2.3300e+27,0.0000e+00,0.0000e+00,98.5,1.1,0.4
225,5.4794e+29,2.2065e+29,3.1494e+29,5.3230e+27,7.0170e+27,1.8899e+29,3.1659e+28,2.7776e+29,3.7179e+28,3.6140e+27,1.7090e+27,3.5720e+27,3.4450e+27,40.3,57.5,1.0,1.3,5.4789e+29,5.3965e+29,5.8820e+27,2.3620e+27,0.0000e+00,0.0000e+00,98.5,1.1,0.4
226,5.3790e+29,2.1858e+29,3.0729e+29,5.0030e+27,7.0270e+27,1.8802e+29,3.0561e+28,2.7234e+29,3.4952e+28,3.3310e+27,1.6720e+27,3.4590e+27,3.5680e+27,40.6,57.1,0.9,1.3,5.3820e+29,5.3015e+29,5.7720e+27,2.2820e+27,0.0000e+00,0.0000e+00,98.5,1.1,0.4
227,5.2496e+29,2.1442e+29,2.9830e+29,5.2500e+27,6.9840e+27,1.8401e+29,3.0410e+28,2.6233e+29,3.5979e+28,3.6950e+27,1.5550e+27,3.5130e+27,3.4710e+27,40.8,56.8,1.0,1.3,5.2505e+29,5.1699e+29,5.6760e+27,2.3850e+27,0.0000e+00,0.0000e+00,98.5,1.1,0.5
228,5.1778e+29,2.1361e+29,2.9180e+29,5.3370e+27,7.0370e+27,1.8345e+29,3.0161e+28,2.5473e+29,3.7068e+28,3.6570e+27,1.6800e+27,3.4980e+27,3.5390e+27,41.3,56.4,1.0,1.4,5.1779e+29,5.0963e+29,5.6280e+27,2.5300e+27,0.0000e+00,0.0000e+00,98.4,1.1,0.5
229,5.0446e+29,2.1052e+29,2.8203e+29,4.9210e+27,6.9940e+27,1.8112e+29,2.9392e+28,2.4754e+29,3.4489e+28,3.4170e+27,1.5040e+27,3.4560e+27,3.5380e+27,41.7,55.9,1.0,1.4,5.0452e+29,4.9635e+29,5.6720e+27,2.4940e+27,0.0000e+00,0.0000e+00,98.4,1.1,0.5
230,4.9759e+29,2.0827e+29,2.7759e+29,4.7150e+27,7.0170e+27,1.8001e+29,2.8264e+28,2.4450e+29,3.3086e+28,3.1700e+27,1.5450e+27,3.5080e+27,3.5090e+27,41.9,55.8,0.9,1.4,4.9788e+29,4.8969e+29,5.6310e+27,2.5610e+27,0.0000e+00,0.0000e+00,98.4,1.1,0.5
231,4.8545e+29,2.0517e+29,2.6881e+29,4.4740e+27,7.0020e+27,1.7818e+29,2.6994e+28,2.3891e+29,2.9897e+28,3.0080e+27,1.4660e+27,3.5750e+27,3.4270e+27,42.3,55.4,0.9,1.4,4.8555e+29,4.7755e+29,5.4070e+27,2.5910e+27,0.0000e+00,0.0000e+00,98.4,1.1,0.5
