TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
283,1.4368e+30,1.3946e+29,1.2833e+30,7.2400e+27,6.8700e+27,7.8930e+28,6.0530e+28,7.5386e+29,5.2941e+29,3.7600e+27,3.4800e+27,3.3600e+27,3.5100e+27,7.6400e+27,3.7700e+27,5.6501e+07,2.8159e+06,1.8805e+09,5.9132e-08,1.9840e+07,8.7960e+05,5.1214e+05,5.0893e+05,9.7,89.3,0.5,0.5,1.4377e+30,1.4105e+30,2.6240e+28,9.3000e+26,1.4040e+28,0.0000e+00,98.1,1.8,0.1
284,1.4400e+30,1.3914e+29,1.2869e+30,7.1000e+27,6.9000e+27,7.8740e+28,6.0400e+28,7.4916e+29,5.3771e+29,3.9600e+27,3.1400e+27,3.5600e+27,3.3400e+27,8.1600e+27,3.7000e+27,5.7012e+07,2.5648e+06,2.0130e+09,2.4881e-07,1.9918e+07,8.7325e+05,5.1536e+05,5.1216e+05,9.7,89.4,0.5,0.5,1.4392e+30,1.4122e+30,2.6000e+28,1.0200e+27,1.4253e+28,0.0000e+00,98.1,1.8,0.1
285,1.4668e+30,1.3714e+29,1.3156e+30,7.2800e+27,6.7900e+27,7.7770e+28,5.9370e+28,7.6594e+29,5.4964e+29,3.8400e+27,3.4400e+27,3.5300e+27,3.2600e+27,8.2300e+27,4.3900e+27,5.7404e+07,2.3228e+06,1.8635e+09,2.7236e-07,1.9900e+07,8.3911e+05,5.1859e+05,5.1538e+05,9.3,89.7,0.5,0.5,1.4650e+30,1.4368e+30,2.7140e+28,1.0500e+27,1.4467e+28,0.0000e+00,98.1,1.9,0.1
286,1.4870e+30,1.3730e+29,1.3359e+30,6.8300e+27,6.9000e+27,7.8970e+28,5.8330e+28,7.8534e+29,5.5060e+29,3.3800e+27,3.4500e+27,3.2800e+27,3.6200e+27,8.3900e+27,4.1500e+27,5.7735e+07,2.0869e+06,1.9871e+09,8.5347e-08,1.9947e+07,8.1479e+05,5.2179e+05,5.1861e+05,9.2,89.8,0.5,0.5,1.4858e+30,1.4580e+30,2.6710e+28,1.0100e+27,1.4597e+28,0.0000e+00,98.1,1.8,0.1
287,1.4743e+30,1.3868e+29,1.3220e+30,6.7600e+27,6.8600e+27,7.9020e+28,5.9660e+28,7.8093e+29,5.4107e+29,3.2700e+27,3.4900e+27,3.4400e+27,3.4200e+27,8.1900e+27,4.5500e+27,5.8471e+07,1.8489e+06,1.9186e+09,2.3405e-08,1.9900e+07,7.8091e+05,5.2501e+05,5.2181e+05,9.4,89.7,0.5,0.5,1.4753e+30,1.4455e+30,2.8980e+28,8.9000e+26,1.4893e+28,0.0000e+00,98.0,2.0,0.1
288,1.4590e+30,1.3503e+29,1.3103e+30,6.8300e+27,6.8500e+27,7.7650e+28,5.7380e+28,7.6937e+29,5.4095e+29,3.5400e+27,3.2900e+27,3.3000e+27,3.5500e+27,8.4400e+27,4.6900e+27,5.8837e+07,1.6067e+06,2.3744e+09,5.5196e-09,1.9916e+07,7.6893e+05,5.2820e+05,5.2502e+05,9.3,89.8,0.5,0.5,1.4575e+30,1.4278e+30,2.8610e+28,1.0700e+27,1.5020e+28,0.0000e+00,98.0,2.0,0.1
289,1.4822e+30,1.3651e+29,1.3318e+30,6.9400e+27,6.8900e+27,8.0030e+28,5.6480e+28,7.8797e+29,5.4384e+29,3.6700e+27,3.2700e+27,3.4000e+27,3.4900e+27,8.6200e+27,4.3600e+27,5.9108e+07,1.3673e+06,2.0766e+09,1.0618e-09,1.9923e+07,7.7450e+05,5.3138e+05,5.2821e+05,9.2,89.9,0.5,0.5,1.4825e+30,1.4524e+30,2.9180e+28,9.1000e+26,1.5230e+28,0.0000e+00,98.0,2.0,0.1
290,1.4650e+30,1.3492e+29,1.3166e+30,6.5500e+27,6.8900e+27,7.7850e+28,5.7070e+28,7.9372e+29,5.2288e+29,3.4000e+27,3.1500e+27,3.4900e+27,3.4000e+27,8.3200e+27,4.3000e+27,5.9242e+07,1.1314e+06,2.0121e+09,1.5340e-10,1.9860e+07,7.6207e+05,5.3457e+05,5.3140e+05,9.2,89.9,0.4,0.5,1.4651e+30,1.4358e+30,2.8230e+28,1.0600e+27,1.5531e+28,0.0000e+00,98.0,1.9,0.1
291,1.4660e+30,1.3288e+29,1.3201e+30,6.2100e+27,6.8600e+27,7.7480e+28,5.5400e+28,8.0136e+29,5.1870e+29,3.3500e+27,2.8600e+27,3.3700e+27,3.4900e+27,7.9000e+27,4.3800e+27,5.9612e+07,9.0064e+05,2.1665e+09,1.5164e-11,2.0092e+07,7.4878e+05,5.3773e+05,5.3459e+05,9.1,90.0,0.4,0.5,1.4656e+30,1.4360e+30,2.8620e+28,1.0100e+27,1.5651e+28,0.0000e+00,98.0,2.0,0.1
292,1.4818e+30,1.3302e+29,1.3355e+30,6.4600e+27,6.8300e+27,7.7300e+28,5.5720e+28,8.1199e+29,5.2346e+29,3.3500e+27,3.1100e+27,3.4900e+27,3.3400e+27,6.8300e+27,3.5400e+27,6.0308e+07,6.7680e+05,2.0508e+09,8.2320e-13,1.9970e+07,7.3286e+05,5.4088e+05,5.3775e+05,9.0,90.1,0.4,0.5,1.4816e+30,1.4509e+30,2.9720e+28,9.3000e+26,1.5859e+28,0.0000e+00,97.9,2.0,0.1
293,1.4902e+30,1.3299e+29,1.3438e+30,6.5700e+27,6.8700e+27,7.7080e+28,5.5910e+28,8.0966e+29,5.3413e+29,3.1100e+27,3.4600e+27,3.6800e+27,3.1900e+27,7.5100e+27,3.9300e+27,6.0546e+07,4.5820e+05,1.9886e+09,1.5696e-14,2.0055e+07,7.4015e+05,5.4401e+05,5.4089e+05,8.9,90.2,0.4,0.5,1.4892e+30,1.4593e+30,2.8980e+28,9.8000e+26,1.6066e+28,0.0000e+00,98.0,1.9,0.1
294,1.4819e+30,1.2960e+29,1.3393e+30,6.1400e+27,6.8700e+27,7.7090e+28,5.2510e+28,8.1462e+29,5.2466e+29,3.1100e+27,3.0300e+27,3.4800e+27,3.3900e+27,7.3500e+27,3.4800e+27,6.0806e+07,2.4157e+05,2.0012e+09,2.8992e-17,2.0187e+07,7.2277e+05,5.4713e+05,5.4403e+05,8.7,90.4,0.4,0.5,1.4816e+30,1.4510e+30,2.9680e+28,9.3000e+26,1.6271e+28,0.0000e+00,97.9,2.0,0.1
