TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
219,6.0310e+29,5.6467e+29,0.0000e+00,3.1400e+28,7.0300e+27,2.1069e+29,3.5398e+29,0.0000e+00,0.0000e+00,1.1800e+28,1.9600e+28,3.5900e+27,3.4400e+27,1.1710e+28,0.0000e+00,1.2086e+08,1.8480e+06,0.0000e+00,0.0000e+00,4.1532e+07,4.8862e+06,3.3720e+05,3.3547e+05,93.6,0.0,5.2,1.2,6.0293e+29,5.8766e+29,8.5300e+27,6.7400e+27,5.2837e+27,0.0000e+00,97.5,1.4,1.1
220,5.9834e+29,5.6031e+29,0.0000e+00,3.1020e+28,7.0100e+27,2.1145e+29,3.4886e+29,0.0000e+00,0.0000e+00,1.1720e+28,1.9300e+28,3.4600e+27,3.5500e+27,1.1510e+28,0.0000e+00,1.1924e+08,9.3951e+05,0.0000e+00,0.0000e+00,4.1423e+07,4.8661e+06,3.3898e+05,3.3721e+05,93.6,0.0,5.2,1.2,5.9877e+29,5.8245e+29,9.0800e+27,7.2400e+27,5.3430e+27,0.0000e+00,97.3,1.5,1.2
221,5.9450e+29,5.5676e+29,0.0000e+00,3.0700e+28,7.0400e+27,2.1501e+29,3.4175e+29,0.0000e+00,0.0000e+00,1.1980e+28,1.8720e+28,3.4600e+27,3.5800e+27,1.0540e+28,0.0000e+00,1.1805e+08,1.7573e+04,0.0000e+00,0.0000e+00,4.1293e+07,4.8718e+06,3.4079e+05,3.3898e+05,93.7,0.0,5.2,1.2,5.9389e+29,5.7863e+29,8.3100e+27,6.9500e+27,5.4042e+27,0.0000e+00,97.4,1.4,1.2
222,5.9302e+29,5.5623e+29,0.0000e+00,2.9790e+28,7.0000e+27,1.9581e+29,3.6042e+29,0.0000e+00,0.0000e+00,1.1830e+28,1.7960e+28,3.8200e+27,3.1800e+27,1.0710e+28,0.0000e+00,1.1672e+08,7.0086e+02,0.0000e+00,0.0000e+00,4.1270e+07,4.8854e+06,3.4265e+05,3.4080e+05,93.8,0.0,5.0,1.2,5.9310e+29,5.7748e+29,8.3500e+27,7.2700e+27,5.4874e+27,0.0000e+00,97.4,1.4,1.2
223,5.8669e+29,5.5028e+29,0.0000e+00,2.9440e+28,6.9700e+27,2.0067e+29,3.4961e+29,0.0000e+00,0.0000e+00,1.1490e+28,1.7950e+28,3.2400e+27,3.7300e+27,1.1200e+28,0.0000e+00,1.1577e+08,1.2289e+06,0.0000e+00,0.0000e+00,4.0199e+07,4.9023e+06,3.4455e+05,3.4265e+05,93.8,0.0,5.0,1.2,5.8754e+29,5.7191e+29,8.2500e+27,7.3800e+27,5.5737e+27,0.0000e+00,97.3,1.4,1.3
224,5.8157e+29,5.4492e+29,0.0000e+00,2.9640e+28,7.0100e+27,2.0225e+29,3.4267e+29,0.0000e+00,0.0000e+00,1.1550e+28,1.8090e+28,3.7200e+27,3.2900e+27,1.1280e+28,0.0000e+00,1.1476e+08,2.4789e+06,0.0000e+00,0.0000e+00,4.0371e+07,4.9016e+06,3.4648e+05,3.4455e+05,93.7,0.0,5.1,1.2,5.8103e+29,5.6431e+29,8.9100e+27,7.8100e+27,5.6212e+27,0.0000e+00,97.1,1.5,1.3
225,5.7619e+29,5.3909e+29,0.0000e+00,2.9880e+28,7.2200e+27,2.0408e+29,3.3501e+29,0.0000e+00,0.0000e+00,1.1630e+28,1.8250e+28,3.5700e+27,3.6500e+27,1.1930e+28,0.0000e+00,1.1329e+08,1.4751e+06,0.0000e+00,0.0000e+00,4.0369e+07,4.8689e+06,3.4845e+05,3.4648e+05,93.6,0.0,5.2,1.3,5.7626e+29,5.5930e+29,9.0600e+27,7.9000e+27,5.7121e+27,0.0000e+00,97.1,1.6,1.4
226,5.7362e+29,5.3673e+29,0.0000e+00,2.9850e+28,7.0400e+27,2.0705e+29,3.2968e+29,0.0000e+00,0.0000e+00,1.1300e+28,1.8550e+28,3.3500e+27,3.6900e+27,1.1270e+28,0.0000e+00,1.1292e+08,4.2724e+05,0.0000e+00,0.0000e+00,4.0434e+07,4.8790e+06,3.5047e+05,3.4846e+05,93.6,0.0,5.2,1.2,5.7318e+29,5.5676e+29,8.2500e+27,8.1700e+27,5.8062e+27,0.0000e+00,97.1,1.4,1.4
227,5.7223e+29,5.3749e+29,0.0000e+00,2.7660e+28,7.0800e+27,2.0097e+29,3.3652e+29,0.0000e+00,0.0000e+00,1.1050e+28,1.6610e+28,3.5600e+27,3.5200e+27,1.0930e+28,0.0000e+00,1.1276e+08,1.2578e+03,0.0000e+00,0.0000e+00,4.0447e+07,4.8849e+06,3.5252e+05,3.5047e+05,93.9,0.0,4.8,1.2,5.7270e+29,5.5652e+29,8.4000e+27,7.7800e+27,5.8812e+27,0.0000e+00,97.2,1.5,1.4
228,5.6941e+29,5.3425e+29,0.0000e+00,2.8130e+28,7.0300e+27,1.9432e+29,3.3993e+29,0.0000e+00,0.0000e+00,1.1050e+28,1.7080e+28,3.5400e+27,3.4900e+27,1.1460e+28,0.0000e+00,1.1247e+08,8.1639e+05,0.0000e+00,0.0000e+00,3.8360e+07,4.8710e+06,3.5461e+05,3.5253e+05,93.8,0.0,4.9,1.2,5.6988e+29,5.5355e+29,8.2800e+27,8.0500e+27,5.9582e+27,0.0000e+00,97.1,1.5,1.4
229,5.5998e+29,5.2532e+29,0.0000e+00,2.7610e+28,7.0500e+27,1.9438e+29,3.3094e+29,0.0000e+00,0.0000e+00,1.1150e+28,1.6460e+28,3.4000e+27,3.6500e+27,1.1750e+28,0.0000e+00,1.1205e+08,2.1848e+06,0.0000e+00,0.0000e+00,3.8307e+07,4.8142e+06,3.5674e+05,3.5462e+05,93.8,0.0,4.9,1.3,5.6002e+29,5.4378e+29,8.7000e+27,7.5400e+27,6.0603e+27,0.0000e+00,97.1,1.6,1.3
230,5.5959e+29,5.2627e+29,0.0000e+00,2.6290e+28,7.0300e+27,2.0095e+29,3.2532e+29,0.0000e+00,0.0000e+00,1.0520e+28,1.5770e+28,3.5400e+27,3.4900e+27,1.3110e+28,0.0000e+00,1.1202e+08,2.4411e+06,0.0000e+00,0.0000e+00,3.8288e+07,4.8109e+06,3.5891e+05,3.5675e+05,94.0,0.0,4.7,1.3,5.5916e+29,5.4382e+29,7.9400e+27,7.4000e+27,6.1421e+27,0.0000e+00,97.3,1.4,1.3
231,5.5151e+29,5.1749e+29,0.0000e+00,2.6890e+28,7.1300e+27,2.0065e+29,3.1684e+29,0.0000e+00,0.0000e+00,1.1080e+28,1.5810e+28,3.6500e+27,3.4800e+27,1.3250e+28,0.0000e+00,1.1145e+08,1.3350e+06,0.0000e+00,0.0000e+00,3.8355e+07,4.7960e+06,3.6111e+05,3.5891e+05,93.8,0.0,4.9,1.3,5.5142e+29,5.3539e+29,8.5000e+27,7.5300e+27,6.2258e+27,0.0000e+00,97.1,1.5,1.4
