TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
137,1.8702e+29,4.6563e+28,1.2841e+29,5.0290e+27,7.0180e+27,4.4494e+28,2.0690e+27,1.2131e+29,7.0920e+27,4.4300e+27,5.9900e+26,3.4950e+27,3.5230e+27,24.9,68.7,2.7,3.8,1.8690e+29,1.8304e+29,2.0460e+27,1.8200e+27,0.0000e+00,0.0000e+00,97.9,1.1,1.0
138,1.9291e+29,4.7388e+28,1.3198e+29,6.5260e+27,7.0190e+27,4.5090e+28,2.2980e+27,1.2347e+29,8.5120e+27,5.9040e+27,6.2200e+26,3.4880e+27,3.5310e+27,24.6,68.4,3.4,3.6,1.9279e+29,1.8858e+29,2.1220e+27,2.0890e+27,0.0000e+00,0.0000e+00,97.8,1.1,1.1
139,2.0018e+29,4.8620e+28,1.3773e+29,6.7950e+27,7.0300e+27,4.6258e+28,2.3620e+27,1.2881e+29,8.9240e+27,6.1150e+27,6.8000e+26,3.5630e+27,3.4670e+27,24.3,68.8,3.4,3.5,2.0006e+29,1.9554e+29,2.2560e+27,2.2600e+27,0.0000e+00,0.0000e+00,97.7,1.1,1.1
140,2.0487e+29,4.9168e+28,1.4208e+29,6.5810e+27,7.0410e+27,4.6815e+28,2.3530e+27,1.3335e+29,8.7260e+27,5.9180e+27,6.6300e+26,3.5290e+27,3.5120e+27,24.0,69.4,3.2,3.4,2.0483e+29,2.0028e+29,2.3430e+27,2.2160e+27,0.0000e+00,0.0000e+00,97.8,1.1,1.1
141,2.0938e+29,5.0009e+28,1.4571e+29,6.6290e+27,7.0330e+27,4.7678e+28,2.3310e+27,1.3689e+29,8.8210e+27,5.8670e+27,7.6200e+26,3.5850e+27,3.4480e+27,23.9,69.6,3.2,3.4,2.0931e+29,2.0483e+29,2.3420e+27,2.1380e+27,0.0000e+00,0.0000e+00,97.9,1.1,1.0
142,2.1282e+29,5.0786e+28,1.4856e+29,6.4430e+27,7.0270e+27,4.8332e+28,2.4540e+27,1.3981e+29,8.7500e+27,5.7470e+27,6.9600e+26,3.5110e+27,3.5160e+27,23.9,69.8,3.0,3.3,2.1267e+29,2.0818e+29,2.3930e+27,2.0900e+27,0.0000e+00,0.0000e+00,97.9,1.1,1.0
143,2.2013e+29,5.1284e+28,1.5330e+29,8.5020e+27,7.0400e+27,4.8584e+28,2.7000e+27,1.4297e+29,1.0334e+28,7.6840e+27,8.1800e+26,3.6000e+27,3.4400e+27,23.3,69.6,3.9,3.2,2.1986e+29,2.1502e+29,2.4180e+27,2.4260e+27,0.0000e+00,0.0000e+00,97.8,1.1,1.1
144,2.2681e+29,5.2402e+28,1.5854e+29,8.8160e+27,7.0520e+27,4.9426e+28,2.9760e+27,1.4769e+29,1.0846e+28,7.9650e+27,8.5100e+26,3.5110e+27,3.5410e+27,23.1,69.9,3.9,3.1,2.2685e+29,2.2166e+29,2.5630e+27,2.6250e+27,0.0000e+00,0.0000e+00,97.7,1.1,1.2
145,2.3144e+29,5.3512e+28,1.6215e+29,8.7380e+27,7.0370e+27,5.0675e+28,2.8370e+27,1.5141e+29,1.0735e+28,7.8570e+27,8.8100e+26,3.4930e+27,3.5440e+27,23.1,70.1,3.8,3.0,2.3135e+29,2.2615e+29,2.6360e+27,2.5670e+27,0.0000e+00,0.0000e+00,97.8,1.1,1.1
146,2.3571e+29,5.3921e+28,1.6617e+29,8.5930e+27,7.0300e+27,5.1134e+28,2.7870e+27,1.5553e+29,1.0635e+28,7.6960e+27,8.9700e+26,3.5030e+27,3.5270e+27,22.9,70.5,3.6,3.0,2.3556e+29,2.3049e+29,2.6760e+27,2.3920e+27,0.0000e+00,0.0000e+00,97.8,1.1,1.0
