Wavelength(nm) Intensity
5.90260540e+02 4.14227385e+03
5.90263836e+02 3.85294348e+03
5.90267131e+02 3.99762934e+03
5.90270426e+02 4.02737161e+03
5.90273721e+02 4.15165902e+03
5.90277016e+02 3.65172046e+03
5.90280311e+02 4.08391090e+03
5.90283606e+02 3.92809442e+03
5.90286901e+02 3.81324150e+03
5.90290197e+02 4.01924337e+03
5.90293492e+02 3.91397606e+03
5.90296787e+02 3.86198772e+03
5.90300082e+02 3.69694470e+03
5.90303377e+02 2.95063136e+03
5.90306672e+02 2.58117776e+03
5.90309967e+02 2.57223569e+03
5.90313262e+02 2.48624916e+03
5.90316557e+02 2.57935249e+03
5.90319853e+02 3.49675975e+03
5.90323148e+02 3.96520235e+03
5.90326443e+02 4.07123606e+03
5.90329738e+02 3.99624152e+03
5.90333033e+02 4.05144045e+03
5.90336328e+02 4.62466537e+03
5.90339623e+02 4.45372161e+03
5.90342918e+02 4.52761925e+03
5.90346214e+02 4.50787836e+03
5.90349509e+02 3.75649605e+03
5.90352804e+02 4.00710480e+03
5.90356099e+02 4.36458469e+03
5.90359394e+02 3.85195500e+03
5.90362689e+02 4.06324520e+03
5.90365984e+02 4.10991970e+03
5.90369279e+02 3.74800620e+03
5.90372574e+02 3.68162086e+03
5.90375870e+02 3.51637922e+03
5.90379165e+02 3.62079743e+03
5.90382460e+02 3.65497372e+03
5.90385755e+02 3.86676441e+03
5.90389050e+02 3.92825684e+03
5.90392345e+02 4.05741459e+03
5.90395640e+02 4.09973504e+03
5.90398935e+02 3.77463346e+03
5.90402231e+02 4.59087761e+03
5.90405526e+02 4.58869688e+03
5.90408821e+02 4.41698694e+03
5.90412116e+02 3.84588083e+03
5.90415411e+02 4.03573490e+03
