TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
177,2.6870e+30,1.1883e+30,1.4620e+30,2.9628e+28,7.0910e+27,9.6984e+29,2.1845e+29,1.1281e+30,3.3389e+29,2.1078e+28,8.5500e+27,3.5550e+27,3.5360e+27,44.2,54.4,1.1,0.3,2.6863e+30,2.6507e+30,3.1098e+28,4.5100e+27,1.4799e+28,0.0000e+00,98.7,1.2,0.2
178,2.7017e+30,1.1907e+30,1.4712e+30,3.2663e+28,7.0650e+27,9.4440e+29,2.4633e+29,1.0815e+30,3.8968e+29,2.3451e+28,9.2120e+27,3.5050e+27,3.5600e+27,44.1,54.5,1.2,0.3,2.7013e+30,2.6649e+30,3.1502e+28,4.8760e+27,1.4742e+28,0.0000e+00,98.7,1.2,0.2
179,2.7301e+30,1.2003e+30,1.4900e+30,3.2686e+28,7.0760e+27,9.5315e+29,2.4717e+29,1.1049e+30,3.8513e+29,2.3376e+28,9.3100e+27,3.6310e+27,3.4450e+27,44.0,54.6,1.2,0.3,2.7297e+30,2.6931e+30,3.1731e+28,4.8740e+27,1.4784e+28,0.0000e+00,98.7,1.2,0.2
180,2.7384e+30,1.2008e+30,1.4987e+30,3.1905e+28,7.0670e+27,9.5652e+29,2.4424e+29,1.1216e+30,3.7712e+29,2.2548e+28,9.3570e+27,3.4170e+27,3.6500e+27,43.8,54.7,1.2,0.3,2.7381e+30,2.7015e+30,3.1735e+28,4.8700e+27,1.4737e+28,0.0000e+00,98.7,1.2,0.2
181,2.7652e+30,1.2092e+30,1.5178e+30,3.1167e+28,7.0740e+27,9.6571e+29,2.4344e+29,1.1481e+30,3.6970e+29,2.1858e+28,9.3090e+27,3.5420e+27,3.5320e+27,43.7,54.9,1.1,0.3,2.7648e+30,2.7280e+30,3.2160e+28,4.6090e+27,1.4789e+28,0.0000e+00,98.7,1.2,0.2
182,2.7746e+30,1.2092e+30,1.5243e+30,3.4003e+28,7.0620e+27,9.3832e+29,2.7089e+29,1.1016e+30,4.2271e+29,2.3875e+28,1.0128e+28,3.5020e+27,3.5600e+27,43.6,54.9,1.2,0.3,2.7746e+30,2.7372e+30,3.2395e+28,4.9590e+27,1.4752e+28,0.0000e+00,98.7,1.2,0.2
183,2.7992e+30,1.2177e+30,1.5404e+30,3.3925e+28,7.0870e+27,9.4407e+29,2.7366e+29,1.1158e+30,4.2468e+29,2.3715e+28,1.0210e+28,3.5220e+27,3.5650e+27,43.5,55.0,1.2,0.3,2.7990e+30,2.7613e+30,3.2892e+28,4.7630e+27,1.4814e+28,0.0000e+00,98.7,1.2,0.2
184,2.8048e+30,1.2171e+30,1.5474e+30,3.3204e+28,7.0800e+27,9.4739e+29,2.6974e+29,1.1334e+30,4.1401e+29,2.3134e+28,1.0070e+28,3.5170e+27,3.5630e+27,43.4,55.2,1.2,0.3,2.8047e+30,2.7673e+30,3.2539e+28,4.8120e+27,1.4787e+28,0.0000e+00,98.7,1.2,0.2
185,2.8134e+30,1.2194e+30,1.5540e+30,3.2908e+28,7.0820e+27,9.5205e+29,2.6735e+29,1.1515e+30,4.0247e+29,2.2788e+28,1.0120e+28,3.5800e+27,3.5020e+27,43.3,55.2,1.2,0.3,2.8125e+30,2.7750e+30,3.2712e+28,4.7910e+27,1.4812e+28,0.0000e+00,98.7,1.2,0.2
186,2.8215e+30,1.2180e+30,1.5613e+30,3.5199e+28,7.0680e+27,9.2620e+29,2.9176e+29,1.1107e+30,4.5056e+29,2.4498e+28,1.0701e+28,3.5170e+27,3.5510e+27,43.2,55.3,1.2,0.3,2.8217e+30,2.7839e+30,3.2721e+28,5.0400e+27,1.4795e+28,0.0000e+00,98.7,1.2,0.2
